SID,entry
547183,airplane
547183,car
547183,skateboard
547183,scooter
547183,tubing
547183,train
547183,rowboat
547183,running
547183,ski jumping
547183,sprinting
547183,bicycle
547183,donkey
547183,bicycle
547183,paraglider
547183,car
547183,ski jumping
787646,skateboard
787646,rollerblades
787646,car
787646,tram
787646,airplane
787646,car
787646,helicopter
787646,train
787646,subway
787646,skiing
787646,running
787646,scooter
920371,train
920371,taxi
920371,airplane
920371,helicopter
920371,taxi
920371,skateboard
920371,scooter
920371,segway
920371,bicycle
610108,car
610108,scooter
610108,skateboard
610108,airplane
610108,rowboat
610108,taxi
610108,subway
610108,ice skates
610108,rollerblades
610108,running
610108,skiing
610108,sailing
610108,canoeing
898793,kayak
898793,rowing
898793,car
898793,scooter
898793,mule
898793,horse
898793,scooter
898793,segway
898793,hurdles
898793,scooter
898793,tubing
898793,horse
898793,skateboard
898793,skateboard
898793,bus
898793,horse
898793,glider
898793,subway
898793,train
898793,cable car
898793,car
898793,helicopter
898793,airplane
898793,jet ski
898793,train
898793,rocket
898793,rowboat
898793,kayak
898793,surfing
898793,horse
898793,rowing
898793,running
898793,cruising
898793,glider
