air conditioner,air purifier,blender,bread maker,clothes dryer,clothes ironing system,clothes rack,coffee maker,cooktop,countertop grill,countertop oven,deep fryer,dehumidifier,dishwasher,egg cooker,electric can opener,electric grill,electric kettle,electric skillet,fabric shaver,food dehydrator,food processor,food steamer,food warmer,freezer,garbage disposal,garment bag,garment steamer,hand blender,hand mixer,heater,hot water dispenser,humidifier,ice cream maker,ice maker,instant pot,iron,juicer,microwave,mixer,oven,popcorn maker,pressure cooker,range,refrigerator,rice cooker,sandwich maker,shoe basket,shoe bench,shoe bench with storage,shoe brush,shoe cabinet,shoe cleaning kit,shoe cover,shoe cubby,shoe drawer,shoe dryer,shoe hanger,shoe holder,shoe hook,shoe hook rack,shoe horn,shoe mat,shoe organizer,shoe polisher,shoe rack,shoe rack bench,shoe rack bench with storage,shoe rack with cover,shoe shelf,shoe shine box,shoe storage box,shoe stretcher,shoe tower,shoe tray,shoe tray for basement,shoe tray for bedroom,shoe tray for closet,shoe tray for entryway,shoe tray for foyer,shoe tray for garage,shoe tray for hallway,shoe tray for laundry room,shoe tray for mudroom,shoe tray for porch,shoe tree,slow cooker,sous vide machine,stand mixer,stove,toaster,toaster oven,trash compactor,vacuum cleaner,waffle maker,washing machine,water dispenser,water filter,wine cooler,yogurt maker
-0.03998998,0.014393859,-0.04441123,-0.00900901,0.013156361,0.018704101,0.030402105,-0.038824383,-0.023404447,-0.038186736,-0.04999198,-0.0099898875,0.037770286,0.012501915,-0.027420463,0.058203492,0.008470035,-0.048294205,0.00030501356,0.05439665,0.027808689,0.012963871,0.021543317,0.024065532,-0.04014962,0.021803198,0.04327094,0.032736883,-0.05352225,-0.02191889,-0.013764901,0.01260779,-9.332155e-05,-0.00158268,0.023555217,-0.0140430005,-0.010550447,0.009613167,-0.06184633,0.01194623,-0.06340168,-0.021387365,-0.0032672554,-0.03832365,-0.040116947,-0.0012283911,0.038846668,-0.018757714,-0.021254776,-0.03910424,-0.01096387,-0.01523084,-0.0057814405,-0.057056263,-0.022261182,-0.015416307,-0.004876722,0.00015112638,-0.007943322,-0.017270703,0.024754025,-0.032739993,-0.01645061,0.034051564,0.004998108,-0.0005039707,0.0013103118,-0.028545734,-0.019113928,0.0066000754,-0.03889619,-0.0001181437,0.0066282237,-0.011804777,-0.019818231,-0.032789573,-0.05860023,-0.012451022,-0.021633495,-0.036154613,-0.04224892,-0.041780543,0.0059575154,0.015520659,-0.009586091,-0.034297995,-0.028634198,-0.072642654,0.0059049586,-0.046180155,-0.0008660485,-8.70539e-05,0.018346252,-0.016906828,0.06982703,-0.016595745,0.042330537,-0.004808147,-0.00018539939,0.008165761
0.024541978,-0.013067583,0.008779702,-0.045421764,0.04765093,0.009137956,0.056753315,-0.010214831,0.039479647,0.050346985,0.028297577,0.054106355,0.03415644,0.030809248,0.0376128,-0.03243629,0.018308606,0.0009255753,0.0033342813,0.050890334,0.042559713,-0.03585531,0.03453693,-0.049635038,0.0503959,-0.00858903,0.060928226,0.047475927,0.008763828,-0.017263055,-0.0007743057,0.010246021,0.0393825,-0.00013668386,-0.008526076,0.010261056,-0.018183112,0.0010352839,0.011757697,-0.013313398,-0.016887134,0.027384883,-0.030058341,-0.060997944,0.056048784,-0.007869657,-0.014213435,0.040254105,0.065468214,0.06464274,0.055005983,0.0747758,0.05642216,0.07920118,0.07216062,0.07165064,0.06877842,0.070709646,0.06853366,0.067874454,0.07085353,0.07285216,0.048624005,0.009215272,0.056631833,0.07362055,0.059000053,0.05645502,0.08333727,0.0659769,0.05111463,0.06011849,0.06817825,0.0620509,0.07141822,0.07528941,0.08326234,0.07120358,0.069381565,0.07313574,0.0734315,0.08015885,0.07791859,0.07709951,0.077206425,0.06166829,-0.020850912,0.004170804,-0.0052651702,0.009804338,-0.00054431276,-0.011594117,0.04820273,0.0047509247,-0.0042467,0.038634922,0.009276015,-0.012031212,-0.02301175,0.009630036
-0.0020958635,0.04627708,-0.055531684,0.02669144,0.018518772,0.02199432,0.024258506,-0.0498469,0.038486682,0.016491102,0.009485818,-0.053968597,-0.043433934,-0.06746879,0.039208967,0.052807506,0.075820215,0.05225665,0.08160744,0.060900375,0.005502018,-0.046354696,0.07177862,0.06876901,-0.058762666,-0.029868132,0.00033869082,0.033022698,-0.06328197,-0.059640717,0.052375957,-0.051981043,-0.032947056,-0.023676569,-0.034199864,0.021722997,0.058018334,-0.06340621,0.04866379,-0.049325455,0.020552529,0.07365073,0.057514545,0.038828418,-0.05102553,-0.012407648,0.046861004,0.031394556,-0.01989772,-0.05993805,0.045932136,-0.030522233,0.015743777,-0.021327812,-0.035710678,0.024971584,-0.016115354,-0.0098357145,-0.033395354,0.039382346,0.020593604,0.03694547,-0.017679745,0.02076031,-0.015794512,-0.015937775,-0.057424057,-0.06556017,-0.039572027,0.037474975,-0.038624685,-0.032296363,0.019681867,0.018072175,-0.031569447,-0.07339787,-0.06254425,-0.062553175,-0.04778965,-0.04897105,-0.05684784,-0.041497078,-0.07617226,-0.042863805,-0.049347457,0.015816702,0.069403656,-0.046317074,-0.042961154,0.067138195,-0.007907945,0.014867291,-0.004674223,0.00084675045,0.04542437,-0.06760841,-0.07907582,-0.038191043,-0.025689455,-0.04434739
0.02147431,-0.0075649815,0.04234666,0.070444904,0.03760102,0.049661856,-0.0043860427,0.048675213,0.025699984,0.016672106,-0.029746566,0.03589259,-0.0160852,0.04082231,0.068186074,0.05585286,0.036751933,-0.00032857087,0.007348934,0.04499833,0.034282446,0.060021676,0.05096211,0.012921342,0.052054293,-0.051564775,0.04526414,0.041501608,0.026504388,0.04967331,0.052432604,0.051046688,0.021425532,0.04607829,0.05309687,0.05292005,0.02545451,0.054810777,0.05759767,0.062998116,0.020260947,0.046632342,0.052962277,0.0006665925,0.06287728,0.054333046,0.04129312,0.05048949,0.06266903,0.050160848,0.07071005,0.06408381,0.05538653,0.05674278,0.05569308,0.056162395,0.06222805,0.06333197,0.066097476,0.029694201,0.005992565,0.04020038,0.060418118,0.046995454,0.05364637,0.05449641,0.05921442,0.044186313,0.0310744,0.06182466,0.0516461,0.049445745,0.073011406,0.040332627,0.05945485,0.006278528,0.038347628,0.053976685,0.047255754,0.03812087,0.06853581,0.03061937,0.03193624,0.051603004,0.02576997,0.06816251,0.008233243,0.045223005,0.06917146,0.045529045,0.04995698,0.018296175,-0.023936046,0.059198264,-0.019095343,0.058275465,0.058811184,0.048801467,0.030090079,0.028406663
-0.04684957,-0.01641958,0.06572195,-0.040513188,-0.0430149,0.03062003,-0.011423348,0.00296582,0.010994818,0.028181178,-0.025110915,0.06806283,-0.06389602,-0.007159006,0.03519683,0.042116147,0.04322391,0.01569608,0.024532352,0.021130174,0.03366963,0.028676571,0.049184017,0.014017526,-0.023943061,0.03648026,0.07590903,0.06055587,0.07119658,0.07337093,-0.021891687,0.04877018,-0.02475272,-0.054902684,-0.04210443,0.059160978,0.032919798,0.022246502,0.010369786,0.058274224,-0.04122987,-0.023634722,-0.0046320707,-0.027982572,-0.04167035,0.010879717,-0.05542771,-0.047928706,-0.024755526,0.024254857,0.009438358,-0.00029118147,-0.003510772,0.011262509,-0.019169614,0.020134801,-0.046046462,0.046789356,0.015853561,0.0074382173,0.044353325,0.06403747,0.024768174,0.0049244193,0.03298675,0.010254085,0.022527508,0.031374402,0.05345206,0.00655694,0.013660786,-0.0020202564,0.0077850246,-0.009376452,-0.0032767807,-0.034077227,0.006479882,0.029007198,-0.025468003,0.006758933,0.042280644,-0.014220435,0.010602684,0.0146187255,0.0030421969,-0.037992008,-0.022261884,-0.005293915,0.06981586,-0.031314205,-0.034481958,-0.033541787,-0.021863395,-0.028783677,0.00517852,-0.019396024,0.032341532,-0.027632052,-0.03990225,-0.057852108
0.008889324,-0.05899507,0.055892076,0.077969305,0.07399288,0.07488137,0.06927503,0.048244253,0.022554709,-0.04419944,-0.029166307,-0.082722,0.07532707,0.06557204,0.053889945,0.07562885,-0.0036309378,0.066477925,0.06480412,-0.04597863,-0.0025704424,0.009341924,0.034395136,0.019927297,-0.022224905,-0.053198274,0.024025101,0.024111895,0.053617146,0.054222684,0.002207917,0.081980824,0.07194119,0.019260304,0.0652509,0.08380991,0.030766288,0.049773596,-0.035327327,0.042441186,-0.05041683,-0.07039618,0.052290037,-0.0036316356,0.015316414,0.063681245,0.07598321,0.016396986,0.0122340815,0.02204434,0.0077127027,-0.02331525,0.051882714,-0.0029664652,-0.005382919,0.043545313,0.04133492,-0.06308878,-0.021428624,-0.020430468,-0.009420534,-0.042498488,-0.00097245205,0.028107667,-0.042740926,-0.037483368,0.016724205,0.015384986,-0.030298542,-0.01230304,-0.043365706,-0.019171033,-0.041598156,-0.068843015,-0.0027183976,-0.06090121,0.010923251,0.020674445,-0.0006303082,0.011520985,0.008695559,-0.003451606,0.052695222,-0.038258366,-0.013112762,0.007264512,0.068022065,-0.040091723,0.04497745,0.0096661225,0.035829283,0.022472907,-0.06715566,-0.06797554,0.011711515,0.080197215,0.086040944,0.05372557,-0.050187927,0.018940851
0.042033866,0.025636528,0.033905115,-0.058864266,-0.049232744,-0.038160093,-0.031908203,-0.026167963,-0.02342297,0.03255517,0.04218237,0.048466682,-0.018423121,-0.034298707,0.049671616,0.008197374,0.049705558,0.058896337,0.06457094,0.0351798,-0.046066497,-0.00725437,0.055957604,-0.015428883,0.064475864,0.05624838,-0.026602682,0.04834036,0.022039201,-0.0061801956,-0.0053982036,-0.03861754,-0.040440198,0.010914762,0.030883556,-0.036903914,-0.01966394,0.020189136,0.057960235,0.03276838,0.046386566,0.038060836,0.05107519,0.044985045,0.033297747,-0.04384681,-0.02052173,-0.04242085,-0.050447207,-0.026375351,-0.00012355013,-0.02124758,-0.027237961,-0.008853709,-0.0707714,-0.019206997,-0.045750152,-0.035038415,-0.056213636,-0.0039835973,0.008190627,0.006730738,-0.04634357,-0.04691035,-0.06364067,-0.033543535,-0.017612541,-0.0033103784,0.008257613,-0.023199063,-0.068041034,-0.04278121,0.0141245695,-0.048743203,-0.027590705,-0.012000021,-0.030205501,-0.006538827,-0.010859862,0.0062121274,-0.048856128,0.026161883,-0.040288504,-0.010099513,-0.009376225,-0.06373659,0.03680527,-0.03505396,0.04934318,0.0053829406,0.006632435,0.020440577,0.04891437,0.050813198,0.046234682,-0.0492888,-0.030767763,0.064853236,-0.019134214,0.0033953362
-0.04636884,-0.013600825,0.053494826,0.021672495,-0.054569367,-0.005864552,0.029492589,0.0109585,0.009546756,0.04837354,0.03888998,-0.02438477,-0.06007542,-0.03728405,0.03803187,-0.0075772186,-0.03717334,-0.06669356,-0.029588217,-0.029552955,-0.032870475,0.0182998,0.008782487,-0.028375484,-0.038981076,0.027253611,-0.04145327,-0.013950633,0.047921937,0.021745455,-0.026496425,0.027908007,-0.06442383,0.012808094,0.012884185,0.02754489,-0.016924517,0.033594698,-0.01474201,0.016842553,0.015077145,-0.033495676,-0.019973738,-0.010284012,-0.03155443,0.009779458,0.046674326,0.0077424,-0.010767118,-0.0046418123,-0.016032618,-0.0049360287,-0.007725567,0.06470285,0.008435645,0.04772137,-0.021688746,0.0150359385,0.026008029,0.0365301,0.058192737,0.01784719,0.013524261,-0.029281614,-0.04975752,0.049718726,0.04434566,0.044829033,0.07383941,0.056114282,0.032611582,0.05210593,-0.028279133,-0.046952378,0.062857345,0.052739777,0.0592869,0.050683226,0.06217786,0.0521447,0.034060333,0.07574662,0.046976708,0.054501113,0.061295323,-0.013449558,0.0013789284,0.0009968374,0.037602343,-0.003439529,0.04696244,0.040887434,0.05692211,-0.039748136,0.053562727,-0.050469223,0.061131578,0.059658233,-0.0063616754,0.0011864363
0.05599013,0.04366246,0.05720893,0.021244053,-0.029592179,0.03486956,-0.028523535,0.041452073,0.055930566,0.040746506,0.012863697,-0.018827237,0.06474285,-0.015059937,0.04371352,-0.03648342,0.0045830635,-0.006411611,-0.07381702,0.023427268,-0.05772564,0.03686449,-0.0015110985,-0.052606612,-0.030710625,0.008412796,0.0642761,-0.0057732053,0.041796707,0.053013314,0.05089976,0.0108082965,0.071065456,0.03187442,0.029975872,-0.02385374,-0.03297011,0.05236464,-0.017087827,0.074949056,-0.054181576,0.040304497,0.016565088,0.019387232,0.040852398,0.03238118,0.013356028,-0.058692195,-0.048122063,-0.05312057,-0.038365074,-0.06931405,-0.01343421,-0.040067624,-0.05735893,-0.062289834,-0.06501634,-0.070908085,-0.044400077,-0.06381841,-0.06675744,-0.052794185,-0.051951926,0.027720984,-0.054669514,-0.06479149,-0.050289404,-0.04677927,-0.02089079,-0.06850449,-0.044965453,-0.057586,-0.07522935,-0.035144,-0.05567174,-0.039160676,-0.027607607,-0.046810336,-0.044008575,-0.024370192,-0.04580536,-0.014431915,-0.011136746,-0.045207992,-0.029515663,-0.044143666,0.030032815,0.060383476,0.045913022,0.0069140987,-0.032859355,-0.058435388,-0.06281633,0.041044794,-0.009320723,0.013558399,0.059611764,0.06510549,0.013721292,0.049212955
0.022810202,0.03780665,0.022750806,0.041791797,0.040120177,-0.01216664,-0.031406876,0.024639623,0.043365117,-0.014145755,0.025878329,0.04712157,0.051955026,0.05539031,0.021184776,0.06473513,-0.021785917,0.045765568,0.045678366,0.039437503,0.040554047,0.035356525,0.05301433,0.029700313,0.020259285,0.041145757,-0.044054136,0.01654144,0.018946094,0.014786518,-0.023072515,0.018274302,0.0672112,-0.012603388,-0.005287377,0.037596792,0.035011698,0.020349298,0.055254314,0.013391072,0.025513116,0.0040059485,0.0033577406,0.007976959,0.060041636,0.018861467,-0.026232881,0.013814315,0.014742414,0.037312068,0.06719041,-0.031041345,0.008342814,0.0059315856,0.031355552,0.038812462,0.04989883,0.006279693,0.015979944,0.02633999,0.028865045,0.008017439,0.016539365,-0.043026235,0.039061688,0.0137952315,-0.019050816,0.0027543237,0.019026302,-0.013514622,-0.0018748931,-0.029046563,0.03973269,-0.01408492,-0.0053467974,-0.028938364,-0.0111879865,-0.04258081,-0.003925549,-0.027862744,-0.03526606,-0.00075772376,-0.007916448,0.012934582,-0.013954279,0.02996949,0.039724104,0.0438678,0.019497663,0.002061426,0.025096113,0.019382397,0.025318524,0.0382306,-0.00443847,0.07410446,-0.034928013,0.025584867,0.034866888,0.036671247
