SID,entry
65cc19b4b3d48a22dfc6756d,air conditioner
65cc19b4b3d48a22dfc6756d,rice cooker
65cc19b4b3d48a22dfc6756d,washing machine
65cc19b4b3d48a22dfc6756d,fryer
65cc19b4b3d48a22dfc6756d,air purifier
65cc19b4b3d48a22dfc6756d,vacuum
65cc19b4b3d48a22dfc6756d,roomba
65e862f844f1b7a803bb3c5a,air conditioner
65e862f844f1b7a803bb3c5a,blender
65e862f844f1b7a803bb3c5a,microwave
65e862f844f1b7a803bb3c5a,dryer
65e862f844f1b7a803bb3c5a,refrigerator
65e862f844f1b7a803bb3c5a,television
65e862f844f1b7a803bb3c5a,pressing iron
65e862f844f1b7a803bb3c5a,coffee maker
65e862f844f1b7a803bb3c5a,fan
65e862f844f1b7a803bb3c5a,toaster
65e862f844f1b7a803bb3c5a,oven
65e862f844f1b7a803bb3c5a,dishwasher
65e862f844f1b7a803bb3c5a,kettle
65e862f844f1b7a803bb3c5a,vacuum cleaner
65e862f844f1b7a803bb3c5a,lamp
65e862f844f1b7a803bb3c5a,bread maker
65e862f844f1b7a803bb3c5a,heater
65e862f844f1b7a803bb3c5a,rice cooker
65e862f844f1b7a803bb3c5a,slow cooker
65e862f844f1b7a803bb3c5a,pressure cooker
65e862f844f1b7a803bb3c5a,gas coooker
65e862f844f1b7a803bb3c5a,air purifier
65e862f844f1b7a803bb3c5a,mixer
65e862f844f1b7a803bb3c5a,air fryer
65e862f844f1b7a803bb3c5a,appliance plug
65e862f844f1b7a803bb3c5a,stove
65e862f844f1b7a803bb3c5a,griller
65e862f844f1b7a803bb3c5a,grilling pan
65e862f844f1b7a803bb3c5a,crock-pot
65e862f844f1b7a803bb3c5a,light bulb
65e862f844f1b7a803bb3c5a,torch
65e862f844f1b7a803bb3c5a,electric drill
65e862f844f1b7a803bb3c5a,kitchen wood
65e862f844f1b7a803bb3c5a,hotpot
65e862f844f1b7a803bb3c5a,kettle
5f5aa60bef062519ff711fe6,microwave
5f5aa60bef062519ff711fe6,oven
5f5aa60bef062519ff711fe6,refrigerator
5f5aa60bef062519ff711fe6,toaster
5f5aa60bef062519ff711fe6,air fryer
5f5aa60bef062519ff711fe6,blender
5f5aa60bef062519ff711fe6,coffee maker
5f5aa60bef062519ff711fe6,ice maker
5f5aa60bef062519ff711fe6,surround sound system
5f5aa60bef062519ff711fe6,sink
5f5aa60bef062519ff711fe6,shower
5f5aa60bef062519ff711fe6,thermostat
5f5aa60bef062519ff711fe6,fire alarm
5f5aa60bef062519ff711fe6,ac unit
5f5aa60bef062519ff711fe6,boiler
5f5aa60bef062519ff711fe6,waffle maker
63ea4ab1ce4168cbe9f63775,blender
63ea4ab1ce4168cbe9f63775,microwaves
63ea4ab1ce4168cbe9f63775,coffee maker
63ea4ab1ce4168cbe9f63775,coffee grinder
63ea4ab1ce4168cbe9f63775,dishwasher
63ea4ab1ce4168cbe9f63775,oven
63ea4ab1ce4168cbe9f63775,stove
63ea4ab1ce4168cbe9f63775,hot plate
63ea4ab1ce4168cbe9f63775,air fryer
63ea4ab1ce4168cbe9f63775,deep fryer
63ea4ab1ce4168cbe9f63775,slow cooker
63ea4ab1ce4168cbe9f63775,pressure cooker
63ea4ab1ce4168cbe9f63775,refrigerator
63ea4ab1ce4168cbe9f63775,freezer
63ea4ab1ce4168cbe9f63775,washing machine
63ea4ab1ce4168cbe9f63775,dryer
63ea4ab1ce4168cbe9f63775,vacuum cleaner
63ea4ab1ce4168cbe9f63775,floor cleaner
63ea4ab1ce4168cbe9f63775,clothes iron
63ea4ab1ce4168cbe9f63775,clothes steamer
63ea4ab1ce4168cbe9f63775,toaster
63ea4ab1ce4168cbe9f63775,toaster oven
63ea4ab1ce4168cbe9f63775,food processor
63ea4ab1ce4168cbe9f63775,stand mixer
63ea4ab1ce4168cbe9f63775,hand mixer
63ea4ab1ce4168cbe9f63775,electric griddle
63ea4ab1ce4168cbe9f63775,electric kettle
63ea4ab1ce4168cbe9f63775,waffle iron
65e358d9c5e3ee026268b2a7,fridge
65e358d9c5e3ee026268b2a7,freezer
65e358d9c5e3ee026268b2a7,oven
65e358d9c5e3ee026268b2a7,stove top
65e358d9c5e3ee026268b2a7,keurig
65e358d9c5e3ee026268b2a7,coffee maker
65e358d9c5e3ee026268b2a7,microwave
65e358d9c5e3ee026268b2a7,toaster
65e358d9c5e3ee026268b2a7,nuwave oven
65e358d9c5e3ee026268b2a7,crock pot
65e358d9c5e3ee026268b2a7,instapot
65e358d9c5e3ee026268b2a7,rice cooker
65e358d9c5e3ee026268b2a7,cooker
65e358d9c5e3ee026268b2a7,hard boiled egg cooker
65e358d9c5e3ee026268b2a7,dishwasher
65e358d9c5e3ee026268b2a7,washer
65e358d9c5e3ee026268b2a7,dryer
65e358d9c5e3ee026268b2a7,hot water kettle
65e358d9c5e3ee026268b2a7,food processor
65e358d9c5e3ee026268b2a7,juicer
65e358d9c5e3ee026268b2a7,waffle maker
65e358d9c5e3ee026268b2a7,griddle
65e358d9c5e3ee026268b2a7,grill
65e358d9c5e3ee026268b2a7,blender
65e358d9c5e3ee026268b2a7,mixer
65e358d9c5e3ee026268b2a7,immersion blender
65e358d9c5e3ee026268b2a7,air fryer
65e358d9c5e3ee026268b2a7,vacuum
65d6a09286a0c99e632a46dd,stove
65d6a09286a0c99e632a46dd,washer
65d6a09286a0c99e632a46dd,dryer
65d6a09286a0c99e632a46dd,dishwasher
65d6a09286a0c99e632a46dd,air fryer
65d6a09286a0c99e632a46dd,toaster oven
65d6a09286a0c99e632a46dd,toaster
65d6a09286a0c99e632a46dd,a
65d6a09286a0c99e632a46dd,blender
65d6a09286a0c99e632a46dd,a
65d6a09286a0c99e632a46dd,juicer
65d6a09286a0c99e632a46dd,fridge
65d6a09286a0c99e632a46dd,freezer
65d6a09286a0c99e632a46dd,dehydrator
65d6a09286a0c99e632a46dd,furniture
65d6a09286a0c99e632a46dd,mini fridge
65d6a09286a0c99e632a46dd,microwave
