Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
547183,microwave,0.0001,7.112941616823433
547183,air conditioner,0.17687365242329867,5.916143251082041
547183,oven,0.2602015973750301,7.269313286313137
547183,iron,0.3395683210202536,8.29231097954779
610108,toaster,0.0001,5.797674630925723
610108,stove,0.6001378475588058,7.104225738992308
610108,heater,0.24515369652950392,6.9807794963411
610108,air conditioner,0.1779294566802062,5.916143251082041
610108,heater,0.1779294566802062,6.9807794963411
610108,heater,1.0,6.9807794963411
610108,dishwasher,0.22978230906560226,6.018681778673055
610108,shoe hanger,0.2563759401947818,2.8926510338773004
610108,juicer,0.24028986883873893,5.122769455632014
610108,egg cooker,0.3613956137986537,3.4951278812429334
610108,freezer,0.33395534696189877,6.518871756370969
610108,oven,0.3137324314263452,7.269313286313137
610108,microwave,0.49582146534022553,7.112941616823433
610108,dishwasher,0.23305447229677356,6.018681778673055
610108,blender,0.21035164469637246,6.259663866801374
610108,refrigerator,0.27343667155888185,6.931176352573357
787646,dishwasher,0.0001,6.018681778673055
787646,range,0.3325466171131237,8.454446211150952
787646,toaster,0.17404438933443667,5.797674630925723
787646,stove,0.6001378475588058,7.104225738992308
787646,freezer,0.21622547076271925,6.518871756370969
787646,juicer,0.21248069037804052,5.122769455632014
787646,microwave,0.35456939325813197,7.112941616823433
898793,stove,0.0001,7.104225738992308
898793,microwave,0.29078114667189636,7.112941616823433
898793,stove,0.29078114667189636,7.104225738992308
898793,cooktop,0.32208059891034924,4.7734280407434015
898793,oven,0.47030054414481093,7.269313286313137
898793,stove,0.22204682234112383,7.104225738992308
898793,oven,0.22204682234112383,7.269313286313137
898793,heater,0.8294094625204989,6.9807794963411
898793,stove,0.24515369652950392,7.104225738992308
898793,cooktop,0.32208059891034924,4.7734280407434015
898793,freezer,0.2759154735446362,6.518871756370969
898793,blender,0.22887463186366386,6.259663866801374
898793,cooktop,0.39050625699353336,4.7734280407434015
898793,freezer,0.2759154735446362,6.518871756370969
920371,shoe tower,0.0001,1.9912260756924949
920371,ice maker,0.3234753676700386,4.62148786458063
920371,refrigerator,0.131129818922184,6.931176352573357
920371,freezer,0.2437220246820594,6.518871756370969
920371,toaster,0.18080389405558905,5.797674630925723
920371,oven,0.11395001255037818,7.269313286313137
920371,stove,0.22204682234112383,7.104225738992308
920371,range,0.2652552348981817,8.454446211150952
920371,iron,0.5512164825226107,8.29231097954779
920371,heater,0.38937466662191467,6.9807794963411
920371,heater,1.0,6.9807794963411
920371,dishwasher,0.22978230906560226,6.018681778673055
