SID,entry,timepoint
5d3cc9010e510a00013df6f6,football,6.9
5d3cc9010e510a00013df6f6,hockey,6.90000000000001
5d3cc9010e510a00013df6f6,track and field,5.69999999999999
5d3cc9010e510a00013df6f6,rowing,3.60000000000001
5d3cc9010e510a00013df6f6,swimming,17.8
5d3cc9010e510a00013df6f6,gymnastics,1.69999999999999
60da4f9aa1ced7efeecca18a,basketball,0.0
60da4f9aa1ced7efeecca18a,baseball,0.0
60da4f9aa1ced7efeecca18a,hockey,0.0
60da4f9aa1ced7efeecca18a,soccer,0.0
60da4f9aa1ced7efeecca18a,ice hockey,0.0
60da4f9aa1ced7efeecca18a,volleyball,2.1
60da4f9aa1ced7efeecca18a,ice volleyball,0.0
60da4f9aa1ced7efeecca18a,ice skating,2.0
60da4f9aa1ced7efeecca18a,gymnastics,3.1
60da4f9aa1ced7efeecca18a,wrestling,1.5
60da4f9aa1ced7efeecca18a,rugby,0.0
60da4f9aa1ced7efeecca18a,cricket,8.3
60da4f9aa1ced7efeecca18a,football,3.5
60da4f9aa1ced7efeecca18a,luge,8.00000000000001
60da4f9aa1ced7efeecca18a,bobsledding,1.5
60da4f9aa1ced7efeecca18a,archery,3.5
60da4f9aa1ced7efeecca18a,badminton,1.90000000000001
60da4f9aa1ced7efeecca18a,tennis,2.60000000000001
60da4f9aa1ced7efeecca18a,water polo,12.4
60da4f9aa1ced7efeecca18a,polo,0.0
60da4f9aa1ced7efeecca18a,rowing,0.0
60da4f9aa1ced7efeecca18a,fencing,0.0
5e8a76b3939b3072dc76fb5c,soccer,0.0
5e8a76b3939b3072dc76fb5c,basketball,0.0
5e8a76b3939b3072dc76fb5c,baseball,0.0
5e8a76b3939b3072dc76fb5c,cricket,0.0
5e8a76b3939b3072dc76fb5c,boxing,1.7
5e8a76b3939b3072dc76fb5c,tennis,1.0
5e8a76b3939b3072dc76fb5c,football,11.0
5e8a76b3939b3072dc76fb5c,wrestling,0.0
5e8a76b3939b3072dc76fb5c,powerlifting,10.9
5e8a76b3939b3072dc76fb5c,weightlifting,1.3
5e8a76b3939b3072dc76fb5c,skiing,3.59999999999999
5e8a76b3939b3072dc76fb5c,rowing,6.2
