SID,entry,timepoint,evaluation,replacement
5c4a428161c51f0001e96b3f,route,1.40000000000001,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,mountain climbing,0.0,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,ice skating,1.8,FOUND,ice skating
5c4a428161c51f0001e96b3f,figure skating,1.5,FOUND,figure skating
5c4a428161c51f0001e96b3f,skiing,12.1,FOUND,skiing
5c4a428161c51f0001e96b3f,snowboarding,0.0,FOUND,snowboarding
5c4a428161c51f0001e96b3f,ski boarding,0.0,REPLACE,skateboarding
5c4a428161c51f0001e96b3f,F1 NASCAR,3.5,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,hot dog eating contest,19.9,EXCLUDE,EXCLUDE
5c4a428161c51f0001e96b3f,yachting,4.59999999999999,REPLACE,ice yachting
65512e3cc12f463bc327b7c3,hockey,0.0,FOUND,hockey
65512e3cc12f463bc327b7c3,basketball,0.0,FOUND,basketball
65512e3cc12f463bc327b7c3,golf,0.0,FOUND,golf
65512e3cc12f463bc327b7c3,rugby,0.9,FOUND,rugby
65512e3cc12f463bc327b7c3,Football,1.1,REPLACE,football
65512e3cc12f463bc327b7c3,lacrosse,0.0,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,badminton,1.8,FOUND,badminton
65512e3cc12f463bc327b7c3,tennis,0.0,FOUND,tennis
65512e3cc12f463bc327b7c3,running,23.0,REPLACE,rowing
65512e3cc12f463bc327b7c3,weightlifting,5.3,FOUND,weightlifting
65512e3cc12f463bc327b7c3,cycling,3.59999999999999,FOUND,cycling
65512e3cc12f463bc327b7c3,swimming,3.40000000000001,FOUND,swimming
65512e3cc12f463bc327b7c3,Polo,6.5,REPLACE,polo
65512e3cc12f463bc327b7c3,baseball,6.6,FOUND,baseball
65512e3cc12f463bc327b7c3,cricket,3.5,FOUND,cricket
65512e3cc12f463bc327b7c3,lacrosse,22.2,EXCLUDE,EXCLUDE
65512e3cc12f463bc327b7c3,climbing,12.5,FOUND,climbing
5fc6df58f380620a09116434,football,0.0,FOUND,football
5fc6df58f380620a09116434,soccer,0.0,FOUND,soccer
5fc6df58f380620a09116434,basketball,0.0,FOUND,basketball
5fc6df58f380620a09116434,baseball,0.0,FOUND,baseball
5fc6df58f380620a09116434,Cricket,0.0,REPLACE,cricket
5fc6df58f380620a09116434,tennis,0.0,FOUND,tennis
5fc6df58f380620a09116434,pickleball,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,golf,0.0,FOUND,golf
5fc6df58f380620a09116434,F1,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,race cars,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,driving,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,NASA,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,across,0.0,REPLACE,crossfit
5fc6df58f380620a09116434,squash,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,paddle,1.6,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,NBA,2.9,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,NFL,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,stadium,4.8,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,Ashley,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,coach,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,bench,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,Gatorade,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,cooler,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,fans,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,tickets,0.0,REPLACE,cricket
5fc6df58f380620a09116434,venue,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,media,1.7,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,referee,2.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,crazy,1.9,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,expensive,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,International,2.3,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,Olympics,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,medals,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,championship,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,rings,2.5,REPLACE,rowing
5fc6df58f380620a09116434,sponsorships,1.8,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,deals,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,contracts,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,uniforms,1.5,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,pennies,0.0,REPLACE,tennis
5fc6df58f380620a09116434,cleats,0.0,REPLACE,pilates
5fc6df58f380620a09116434,stick,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,ball,1.0,REPLACE,football
5fc6df58f380620a09116434,equipment,1.59999999999999,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,bag,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,sportsmanship,3.7,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,competition,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,teammates,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,friendship,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,LeBron James,4.8,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,snowboarding,2.3,FOUND,snowboarding
5fc6df58f380620a09116434,skiing,0.0,FOUND,skiing
5fc6df58f380620a09116434,Alpine,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,skiing,0.0,FOUND,skiing
5fc6df58f380620a09116434,racing,0.0,REPLACE,rafting
5fc6df58f380620a09116434,horse racing,0.0,FOUND,horse racing
5fc6df58f380620a09116434,animals,0.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,bedding,0.0,REPLACE,bobsledding
5fc6df58f380620a09116434,gambling,0.0,REPLACE,tumbling
5fc6df58f380620a09116434,adrenaline,5.0,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,cycling,1.0,FOUND,cycling
5fc6df58f380620a09116434,steroids,1.3,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,hydration,2.39999999999999,EXCLUDE,EXCLUDE
5fc6df58f380620a09116434,recovery,0.0,REPLACE,archery
5d3cc9010e510a00013df6f6,baseball,0.0,FOUND,baseball
5d3cc9010e510a00013df6f6,basketball,2.4,FOUND,basketball
5d3cc9010e510a00013df6f6,football,4.1,FOUND,football
5d3cc9010e510a00013df6f6,soccer,6.9,FOUND,soccer
5d3cc9010e510a00013df6f6,Esports,15.5,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,cricket,6.4,FOUND,cricket
5d3cc9010e510a00013df6f6,tennis,3.2,FOUND,tennis
5d3cc9010e510a00013df6f6,pickleball,4.7,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,badminton,5.90000000000001,FOUND,badminton
5d3cc9010e510a00013df6f6,softball,6.9,REPLACE,football
5d3cc9010e510a00013df6f6,hockey,6.90000000000001,FOUND,hockey
5d3cc9010e510a00013df6f6,track and field,5.69999999999999,FOUND,track and field
5d3cc9010e510a00013df6f6,darts,7.90000000000001,EXCLUDE,EXCLUDE
5d3cc9010e510a00013df6f6,bowling,3.60000000000001,REPLACE,rowing
5d3cc9010e510a00013df6f6,swimming,17.8,FOUND,swimming
5d3cc9010e510a00013df6f6,gymnastics,1.69999999999999,FOUND,gymnastics
60da4f9aa1ced7efeecca18a,basketball,0.0,FOUND,basketball
60da4f9aa1ced7efeecca18a,baseball,0.0,FOUND,baseball
60da4f9aa1ced7efeecca18a,hockey,0.0,FOUND,hockey
60da4f9aa1ced7efeecca18a,soccer,0.0,FOUND,soccer
60da4f9aa1ced7efeecca18a,lacrosse,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,field hockey,0.0,REPLACE,ice hockey
60da4f9aa1ced7efeecca18a,volleyball,2.1,FOUND,volleyball
60da4f9aa1ced7efeecca18a,beach volleyball,0.0,REPLACE,ice volleyball
60da4f9aa1ced7efeecca18a,ice skating,2.0,FOUND,ice skating
60da4f9aa1ced7efeecca18a,gymnastics,3.1,FOUND,gymnastics
60da4f9aa1ced7efeecca18a,BMX,12.1,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,wrestling,1.5,FOUND,wrestling
60da4f9aa1ced7efeecca18a,cross country track and field,2.2,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,rugby,0.0,FOUND,rugby
60da4f9aa1ced7efeecca18a,cricket,8.3,FOUND,cricket
60da4f9aa1ced7efeecca18a,rounders,3.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,kickball,0.0,EXCLUDE,EXCLUDE
60da4f9aa1ced7efeecca18a,softball,3.5,REPLACE,football
60da4f9aa1ced7efeecca18a,luge,8.00000000000001,FOUND,luge
60da4f9aa1ced7efeecca18a,bobsled,1.5,REPLACE,bobsledding
60da4f9aa1ced7efeecca18a,archery,3.5,FOUND,archery
60da4f9aa1ced7efeecca18a,badminton,1.90000000000001,FOUND,badminton
60da4f9aa1ced7efeecca18a,tennis,2.60000000000001,FOUND,tennis
60da4f9aa1ced7efeecca18a,water polo,12.4,FOUND,water polo
