action figure,building blocks,coloring book,coloring pencils,crayons,doll,dollhouse,drum set,duplo,easel,finger paints,guitar,harmonica,ipad,kazoo,keyboard,lego,magnetic tiles,markers,modeling clay,musical instrument set,paint set,play food,play mat,play tent,play tunnel,play-doh,playhouse,recorder,stuffed animal,tambourine,teddy bear,toy accordion,toy balalaika,toy banjo,toy bassoon,toy bongo,toy car,toy castanets,toy cello,toy clarinet,toy conga,toy cymbals,toy didgeridoo,toy djembe,toy double bass,toy drum,toy drum set,toy dulcimer,toy esraj,toy flute,toy french horn,toy glockenspiel,toy guitar,toy harmonium,toy harp,toy keyboard,toy kitchen,toy lute,toy lyre,toy mandolin,toy maracas,toy marimba,toy microphone,toy oboe,toy piano,toy piccolo,toy psaltery,toy santur,toy sarangi,toy saxophone,toy sitar,toy surbahar,toy tabla,toy tambourine,toy tanpura,toy timpani,toy tool set,toy train,toy triangle,toy trombone,toy truck,toy trumpet,toy tuba,toy ukulele,toy veena,toy vibraphone,toy viola,toy violin,toy whistle,toy xylophone,toy zither,ukulele,watercolor set,xylophone
-0.043683,-0.041368548,-0.034658946,0.04476809,0.004175064,-0.050521437,0.009971523,-0.012299023,0.023233054,0.005493332,-0.047952544,-0.028383553,-0.01627962,-0.011296686,0.03816125,-0.035120003,0.0038240573,0.018393662,0.035532385,-0.027836006,-0.030765098,-0.025074374,-0.033665117,-0.021770712,-0.015306293,0.038126457,-0.019389,-0.03823735,-0.03043858,-0.055578835,-0.05964031,-0.035050068,-0.043536056,-0.010814246,-0.0022507482,-0.020864764,0.010002097,-0.049972292,-0.042120975,-0.014962859,-0.0104084285,0.01982611,-0.0076215332,-0.045658626,-0.038518675,-0.027023636,-0.01580039,-0.009094476,-0.026382456,0.030357383,-0.02266326,-0.006949119,-0.027906558,-0.02597661,-0.060266532,-0.035565782,-0.006926282,-0.06550086,0.0043581794,-0.028378721,-0.0043276935,-0.032219417,-0.026110044,-0.04033453,0.008791284,-0.04902608,-0.040919818,-0.032610405,-0.05517679,-0.032078814,-0.036615327,-0.027265372,-0.030476578,-0.008707022,-0.021957612,-0.027438609,-0.025786864,-0.020177014,0.016497944,-0.035297684,-0.03572684,-0.015612316,-0.011188335,-0.051765982,-0.03629798,-0.03244315,-0.015028182,-0.033713907,-0.014400033,-0.012278567,-0.013117989,-0.009217123,-0.025197314,0.04232695,0.0058968416
-0.0047518527,-0.038326196,-0.005041391,-0.009498674,0.017789677,-0.0015063509,-0.017994076,0.0018561475,-0.016033003,0.016399909,0.06363068,-0.026961362,0.017089682,-0.02334392,0.016390288,0.022413922,-0.0012577664,0.019280741,0.013467811,0.024144037,-0.0023379652,-0.011914554,-0.021537725,0.02204808,0.02276737,0.012606961,0.071233205,0.03293328,-0.008022984,0.05045841,0.04370667,-0.0079374835,0.033044014,0.021507535,0.045376442,-0.0022119738,0.02644141,0.025432717,0.03395317,0.02937592,0.0005524516,-0.004104288,0.02330754,0.04081911,0.02612819,-0.014717842,0.019184072,-0.016001917,0.0040092464,-0.02140494,0.042066615,0.022087883,-0.018522171,-0.0049527995,0.0018794633,0.006538402,-0.0034697733,0.03214758,0.028145563,-0.017946763,0.019757604,0.012653283,0.028751709,0.012918309,0.019511336,-0.026384072,-0.008989385,-0.015756523,-0.036040664,0.010756117,0.027720647,0.021795986,-0.018678458,-0.012662177,0.020824958,-0.01764352,-0.022984017,-0.048183527,-0.021278778,0.020470114,0.008598798,0.0076908064,0.013715815,0.027909039,-0.0043858066,-0.009119812,0.011183643,-0.030039068,-0.010318211,0.039271228,0.0033321755,-0.0063642366,-0.0019201037,0.026935887,0.0032319778
-0.074480906,-0.03197284,0.082547925,0.07494907,0.07511139,-0.022777082,0.026042629,0.07631123,-0.040026907,0.02469711,0.07287274,0.0850814,0.07636982,0.06280466,0.08389866,0.03249076,-0.063930206,0.058055714,0.04130511,-0.03186396,0.08577072,0.07196594,0.080355234,0.020341521,0.07251673,-0.004820473,-0.022730365,0.048479453,0.069993496,-0.0073956754,0.09550197,-0.036654666,0.07042381,0.047644768,0.032245874,0.076346815,-0.028370768,0.0148477545,0.013442486,0.07386513,0.071059726,0.05565103,0.075526886,0.064330995,0.047346655,0.070731126,0.06831461,0.072885215,0.076236375,-0.004686777,0.070077874,0.06051702,0.06752077,0.082914606,0.0852911,0.046248898,0.013731347,0.0034699861,0.041012723,0.060299125,0.07375451,0.05061613,0.0820659,0.044396862,0.06528141,0.07672337,0.030727545,-0.006636847,0.077759184,0.04928124,0.07915649,0.08445187,-0.038888287,0.066365264,0.08369052,0.00043599884,0.08379399,0.042480517,0.040144682,0.04445849,0.07493792,0.020012656,0.06460212,0.07987566,0.07456331,0.05072064,0.06259328,0.03328573,0.07154771,0.036349818,0.055951703,0.037109606,0.07760833,0.07916565,0.057638336
0.006141568,-0.010358545,0.023884332,0.011509411,0.013380522,0.028395288,-0.04471671,0.07041113,0.062838964,0.04770922,-0.04973593,0.03333201,0.029309679,0.056628738,0.05691101,0.06446746,-0.0070242668,0.025685275,-0.047541488,0.03772348,0.073671654,-0.022485586,0.039944902,0.05350782,-0.018389594,-0.0059824246,0.034438156,-0.024087697,-0.013958312,0.04114471,0.048586346,0.0145586375,0.03398064,0.06221979,0.034000378,0.032499094,0.05067046,0.061304793,0.011210969,0.049247272,0.028967967,0.019818505,0.04386198,0.031912427,0.015258387,0.002331864,0.069855854,0.05613081,0.012417906,0.036599852,0.042705167,-0.006258606,0.018492855,0.025828598,0.009735862,-0.004628513,0.044328067,-0.0071452996,0.04215081,0.05941312,-0.008250133,0.042392455,0.01664796,0.05418271,0.0250085,0.014789112,0.0487414,-0.0056783957,-0.018779472,0.035604406,-0.012391523,0.019515857,0.018440552,0.00940324,0.026335523,0.007121427,0.021465782,0.057642106,0.041436203,0.020581977,0.00895507,0.04849388,-0.0013242615,0.032774393,0.044400215,0.0030597234,0.02728899,0.030248828,0.039040193,0.033793587,0.06676488,0.009813763,0.03909926,-0.013373342,0.07597311
-0.03720122,-0.0841595,-0.050679658,-0.024314595,-0.06597043,-0.037654094,0.0066956906,0.017918007,-0.074437976,-0.017500106,-0.04345263,-0.012513135,-0.021464113,-0.02505389,-0.0022097859,-0.019006003,-0.062527604,-0.00364356,-0.04864344,0.030372707,-0.023021588,-0.010039796,-0.020387327,-0.012592278,0.004930604,-0.05575032,-0.061878376,-0.08354143,-0.018169299,-0.0005930649,0.02410138,-0.05113124,-0.046085797,-0.058890976,-0.036252063,-0.020271482,-0.06348734,-0.027237752,-0.024724334,-0.048389193,-0.05764961,-0.0073547736,-0.017159838,-0.046105135,-0.0411781,0.021135546,0.0017500112,-0.00039365637,-0.06018022,-0.02071188,-0.03817971,0.022264538,-0.02685185,-0.021822745,-0.03146158,-0.051463775,-0.00046981356,-0.02464237,-0.019544153,0.023821978,-0.04758822,-0.045132376,-0.020916712,0.028810928,-0.026362412,-0.042686738,-0.033250835,0.010248946,-0.052560747,-0.02299962,-0.06883162,-0.009935147,0.0074332757,-0.044459525,0.040190365,0.0029849217,0.011949007,-0.023019396,-0.054442406,0.025016978,-0.026460921,-0.017000515,-0.02398845,-0.049486794,-0.05642027,-0.067005426,-0.052566998,-0.033699412,-0.055581808,-0.021121262,-0.014219198,-0.057497904,-0.047863137,0.03600437,-0.025949664
0.033640407,0.018219812,0.019204395,0.01624205,0.052072816,-0.005148116,-0.051311858,0.06354564,0.015557062,0.03490146,-0.013509023,-0.005044922,0.0540087,-0.006678693,0.021790825,0.057637937,-0.04557943,0.032828994,-0.0031781045,-0.048079625,0.027215242,0.012171474,0.06454455,0.03611369,0.058917146,-0.06459035,0.05260492,0.028786695,0.06039249,0.06899656,0.05674734,0.063514315,0.06665572,0.015485462,0.025623294,0.06470845,0.06254923,0.027930621,-0.008594739,0.018725827,0.06346485,0.057291713,0.06071577,0.031359788,0.05197476,0.016767545,0.0687313,0.059644956,0.04221232,0.021917852,0.01857381,0.008004864,0.04788953,-0.004910217,0.035123654,0.01921969,0.011104776,0.07794038,0.047422964,-0.04686157,0.019960865,0.039595846,0.013511593,0.02519316,0.053969856,0.010046439,0.027207395,0.03990556,0.056760024,-0.0072972584,0.0769271,0.032103464,-0.0046842755,0.015593557,0.05915537,0.021983767,0.03166356,-0.0071819904,0.036824454,-0.0056098583,0.029807713,-0.02401992,0.034303647,0.037502736,0.051488884,0.007112746,0.034848228,0.04050008,0.049056597,0.06505832,0.039289854,0.032640073,0.04967864,0.038070463,0.031787116
-0.061782166,-0.020215644,0.02159743,0.037128404,0.031974364,-0.0765373,-0.05295048,-0.01120474,-0.046545062,-0.039632764,0.024878172,-0.030305466,-0.04015817,-0.031213917,0.019036425,0.021391705,-0.036092013,0.036989886,-0.011309464,-0.007564832,0.011654514,0.0026172863,-0.039743017,-0.055938736,-0.030708157,-0.060398325,0.022901269,0.020558432,0.029967599,-0.07661615,0.049499992,-0.07740257,-0.055294648,-0.029746147,0.00852365,-0.01537113,-0.0168895,-0.030358255,-0.040855873,-0.022572748,0.025734065,-0.052618675,-0.043809656,-0.006589544,-0.03246122,-0.041449796,-0.048864562,-0.04205875,-0.04317688,-0.060626365,-0.0140710175,-0.035064287,-0.059786357,-0.04916232,-0.052229065,-0.06618159,-0.018838765,-0.046307743,-0.04440351,0.00957598,-0.05718413,-0.054849837,-0.024260854,0.017036388,-0.01668691,-0.04025305,-0.06344116,-0.052445505,-0.056387447,-0.05303606,-0.024131091,-0.060786717,-0.066477865,-0.041345425,-0.044797,-0.03678895,-0.0053094137,-0.033188477,-0.047377672,-0.012264345,0.044309866,-0.07059566,0.004541594,0.014914503,-0.058101904,-0.045107435,-0.06318167,-0.017075082,-0.014855921,-0.041463904,-0.057066977,-0.06294332,-0.039654758,0.02014614,-0.0178061
0.07162747,0.045707673,0.052662,0.009039281,-0.0046277083,-0.006667147,-0.06624592,0.028628204,-0.002993053,0.0141345225,0.010727907,-0.01901084,0.0003728074,-0.052030027,0.015225685,-0.02710221,-0.0083472105,0.019427884,0.011655998,0.006117526,0.008910676,0.07051089,-0.035161294,0.023102894,-0.003800193,-0.013148183,-0.0295475,-0.027206313,0.058859672,-0.046541814,0.03454923,-0.01029371,0.034086548,0.035920154,0.0066570016,0.021345137,-0.026632436,0.020246077,0.006112792,0.005173913,-0.019202778,0.021880273,0.005320792,0.015127983,0.01598536,0.016367594,0.02679079,0.045744203,0.032617275,0.045618955,-0.009304986,0.03853881,0.023733027,0.03291147,-0.008358022,0.02672266,0.049504,0.021006975,0.027832538,0.04906388,0.014307042,0.039259244,0.036005348,0.0631072,-0.0061388155,0.054487437,-0.012486086,0.0076910118,-0.0019020931,0.012557091,-0.007069765,-0.0014547193,-0.008167179,0.05928639,0.042966757,0.017230015,0.032643262,0.050042678,0.0083532315,0.060900338,0.06084697,0.014782972,0.020779787,0.02391578,0.016182568,-0.0146985855,0.052000385,0.0113301445,0.013577587,0.039247658,0.043479346,0.010626449,-0.012749054,0.042400435,0.01691212
-0.0022845606,-0.07286365,0.04000361,-0.024728227,-0.057706606,0.040487763,0.012997285,0.012182009,-0.080111384,0.012581754,-0.0612076,0.04733118,0.040991165,0.019386183,0.04339174,0.044108514,-0.03722689,-0.06818525,-0.08135846,0.049472723,0.038622595,-0.04816316,-0.009977072,0.03184423,0.022728482,-0.002438636,0.06155948,0.043064147,0.054738015,0.031641293,-0.0127349,0.029114626,0.010166621,0.029488899,0.038407046,-0.04174078,0.0021291478,0.01610221,-0.013948433,0.019511852,0.028759079,-0.023343848,-0.06882427,0.035814166,-0.017069835,-0.03703948,0.031201057,0.014759973,-0.0054038838,-0.007098527,0.015637098,0.009032012,-0.035331268,0.012498407,-0.0120545775,0.019885411,0.020392874,0.0056180563,0.004874996,-0.03159756,-0.029413909,-0.040550347,-0.018588003,0.064854234,-0.016546832,-0.026366938,-0.0027016317,-0.022887265,-0.048518423,-0.004215236,0.026738169,0.00399758,-0.05331801,0.023177616,-0.037658267,0.0017490258,-0.007421039,-0.006656068,0.015184222,-0.022334157,0.016643789,0.0066993646,-0.021062193,0.0076395012,0.042069875,0.021151949,0.022826467,-0.0042761024,0.046398852,-0.029306123,-0.037168603,0.009692893,0.04460735,0.012860749,-0.018545028
-0.038361307,0.032326564,-0.018824814,0.061126858,0.0671861,0.017560236,-0.031863376,-0.048742015,0.019883433,0.02844581,0.06862417,0.0143649625,0.051526625,-0.024636174,0.032837335,0.0012023969,0.04350201,0.036856882,0.054975137,-0.048269056,-0.038276453,-0.008489153,0.06502113,0.029973518,0.018551785,0.056932583,0.06610792,-0.05323626,-0.0150492955,0.040073864,0.029715251,0.06046857,-0.012094225,0.053382847,0.029720156,0.019047279,0.010021946,-0.01723042,0.005721621,0.024551554,-0.02010915,0.04117775,0.027684152,0.014112419,0.0029556118,0.01758272,0.0054615675,-0.033786982,0.017078957,0.02826112,0.0070783272,0.00090704276,0.047232714,-0.015344422,0.03490595,0.0018352538,0.0013137773,-0.024829047,0.011901323,0.018165058,0.029613297,0.058608994,0.042288285,0.011083047,0.01781264,0.015381398,0.019122757,0.028740186,0.023887211,0.050337385,0.016227636,0.012759238,0.031465236,-0.008904553,0.03754181,0.042286262,-0.0050250744,-0.022408793,0.0049853036,0.02662646,0.031065129,-0.028204408,0.03499839,-0.037502453,0.028238647,0.04054666,-0.009055461,-0.013342819,0.029245604,0.053290475,0.025175499,0.024032757,0.018717544,0.009532774,0.030703887
