SID,entry,timepoint
65cc19b4b3d48a22dfc6756d,labor day,0.0
65cc19b4b3d48a22dfc6756d,mother's day,11.8
65cc19b4b3d48a22dfc6756d,father's day,0.0
65cc19b4b3d48a22dfc6756d,4th of july,0.0
65cc19b4b3d48a22dfc6756d,martin luther king day,5.0
65cc19b4b3d48a22dfc6756d,thanksgiving,6.0
65cc19b4b3d48a22dfc6756d,halloween,0.0
65cc19b4b3d48a22dfc6756d,easter,1.2
65cc19b4b3d48a22dfc6756d,april fool's,2.4
65cc19b4b3d48a22dfc6756d,hanukkah,35.4
65cb63e160bb47fbf9349269,new year's day,0.0
65cb63e160bb47fbf9349269,martin luther king day,0.0
65cb63e160bb47fbf9349269,presidents day,0.0
65cb63e160bb47fbf9349269,valentine's day,0.0
65cb63e160bb47fbf9349269,st patrick's day,3.0
65cb63e160bb47fbf9349269,easter,0.0
65cb63e160bb47fbf9349269,ramadan,1.6
65cb63e160bb47fbf9349269,mother's day,4.3
65cb63e160bb47fbf9349269,father's day,2.1
65cb63e160bb47fbf9349269,memorial day,0.0
65cb63e160bb47fbf9349269,4th of july,0.0
65cb63e160bb47fbf9349269,independence day,0.0
65cb63e160bb47fbf9349269,labor day,0.0
65cb63e160bb47fbf9349269,halloween,2.6
65cb63e160bb47fbf9349269,veterans day,1.4
65cb63e160bb47fbf9349269,indigenous peoples day,1.4
65cb63e160bb47fbf9349269,thanksgiving day,4.9
65cb63e160bb47fbf9349269,black friday,0.0
65cb63e160bb47fbf9349269,christmas,1.7
65cb63e160bb47fbf9349269,hanukkah,0.0
65cb63e160bb47fbf9349269,kwanzaa,0.0
65cb63e160bb47fbf9349269,yom kippur,2.3
65cb63e160bb47fbf9349269,rosh hashanah,3.6
65cb63e160bb47fbf9349269,parents day,4.09999999999999
65cb63e160bb47fbf9349269,children's day,0.0
65cb63e160bb47fbf9349269,bank holiday,0.0
65cb63e160bb47fbf9349269,the queen's jubilee day,3.60000000000001
65cb63e160bb47fbf9349269,three kings day,38.1
65e1f75ab3efd22e847cfbf0,new year,0.0
65e1f75ab3efd22e847cfbf0,valentines day,1.5
65e1f75ab3efd22e847cfbf0,saint patrick's day,0.0
65e1f75ab3efd22e847cfbf0,easter,0.0
