Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
5d7ff4aa50fda7001a863736,forage_dynamic_simdrop,3.4052793047030407,4.301832192305772,,164.00814746782817
5d7ff4aa50fda7001a863736,forage_random_baseline,0.0,0.0,,186.12049908030272
5f5aa60bef062519ff711fe6,forage_dynamic_simdrop,-0.12996566528492873,3.066833526293594,,172.8649180689951
5f5aa60bef062519ff711fe6,forage_random_baseline,0.0,0.0,,186.12049908030272
60a48adfe091e410f4eaba34,forage_dynamic_simdrop,-0.12192040982179729,3.51625147115268,,106.64502395596656
60a48adfe091e410f4eaba34,forage_random_baseline,0.0,0.0,,114.07385427502419
60d731567049e5132e3cc4d4,forage_dynamic_simdrop,2.389372352293224,4.2940827491033176,,202.20480719546902
60d731567049e5132e3cc4d4,forage_random_baseline,0.0,0.0,,228.14770855004855
63e802622f8052bd67d6c5f0,forage_dynamic_simdrop,0.07123169787311326,4.2097296567277604,,104.81991099413533
63e802622f8052bd67d6c5f0,forage_random_baseline,0.0,0.0,,114.07385427502419
63ea4ab1ce4168cbe9f63775,forage_dynamic_simdrop,-0.06507406771646926,5.007945126624308,,168.39654128380602
63ea4ab1ce4168cbe9f63775,forage_random_baseline,0.0,0.0,,198.12827321451581
65b15afd94153c1f50c92493,forage_dynamic_simdrop,3.2679900882288093,3.99010012769096,,100.87187238413463
65b15afd94153c1f50c92493,forage_random_baseline,0.0,0.0,,114.07385427502419
65c25cf77dca9d7ca7d9ebdb,forage_dynamic_simdrop,2.498226961787903,5.029354650772296,,130.49495922770345
65c25cf77dca9d7ca7d9ebdb,forage_random_baseline,0.0,0.0,,162.10495081187653
65cb63e160bb47fbf9349269,forage_dynamic_simdrop,1.322680795495233,4.602348493442617,,170.9812865779427
65cb63e160bb47fbf9349269,forage_random_baseline,0.0,0.0,,192.12438614740927
65cc19b4b3d48a22dfc6756d,forage_dynamic_simdrop,2.4219563955317853,3.9956943531115625,,140.72767904743895
65cc19b4b3d48a22dfc6756d,forage_random_baseline,0.0,0.0,,156.10106374477
65d54b3b524fcafb543d1b23,forage_dynamic_simdrop,0.24557371052950241,4.800824988934413,,103.0188237806772
65d54b3b524fcafb543d1b23,forage_random_baseline,0.0,0.0,,120.07774134213072
65d6a09286a0c99e632a46dd,forage_dynamic_simdrop,0.00841347700491547,3.7302691770019196,,135.01775658122244
65d6a09286a0c99e632a46dd,forage_random_baseline,0.0,0.0,,144.0932896105569
65e1f75ab3efd22e847cfbf0,forage_dynamic_simdrop,2.477434109820243,3.6681278425447967,,148.66055614024273
65e1f75ab3efd22e847cfbf0,forage_random_baseline,0.0,0.0,,162.10495081187653
65e358d9c5e3ee026268b2a7,forage_dynamic_simdrop,0.5124628579286847,3.807672411337034,,185.84826226133262
65e358d9c5e3ee026268b2a7,forage_random_baseline,0.0,0.0,,210.1360473487289
65e862f844f1b7a803bb3c5a,forage_dynamic_simdrop,2.4354416622951978,3.941155440679124,,272.2562480585386
65e862f844f1b7a803bb3c5a,forage_random_baseline,0.0,0.0,,300.1943533553269
