allen wrench,angle grinder,awl,axe,ball-peen hammer,band saw,bolt cutter,brick hammer,brush,caulking gun,center punch,chainsaw,chalk line,chisel,circular saw,clam hammer,clamp,concrete mixer,coping saw,cross-peen hammer,crowbar,cultivator,dead blow hammer,die wrench,dividers,drill,drywall anchors,drywall banjo,drywall bench,drywall cart,drywall corner bead,drywall corner tool,drywall cutting tool,drywall finishing knife,drywall finishing tools,drywall finishing trowel,drywall hammer,drywall keyhole saw,drywall knife,drywall lift,drywall mud,drywall rasp,drywall repair kit,drywall repair patch,drywall router,drywall router bit,drywall sander,drywall saw,drywall screw gun,drywall screws,drywall stilts,drywall tape,extension ladder,file,float,fork,framing hammer,gouge,grease gun,grout float,hacksaw,hammer,hand saw,hoe,jack,jigsaw,jointer,ladder,laser level,level,mallet,marker pen,mason's hammer,masonry trowel,mattock,maul,mitre saw,nail puller,nail punch,paint roller,paint scraper,paintbrush,pencil,pickaxe,pin punch,planer,pliers,pneumatic nail gun,post hole digger,protractor,pry bar,punch,putty knife,rake,rasp,ratchet,ratchet wrench,router,rubber mallet,sander,saw,scraper,scratch awl,screwdriver,scriber,scroll saw,scythe,set square,shovel,sickle,sledgehammer,socket wrench,soft-faced hammer,soldering iron,spade,spatula,spirit level,staple gun,staple hammer,stapler,step ladder,surveyor's level,t-square,table saw,tack hammer,tack puller,tap wrench,tape measure,taping knife,tiller,torque wrench,trowel,utility knife,vice,wheelbarrow,wire brush,wire crimper,wire cutter,wire stripper,wire twister,wrecking bar,wrench
-0.001579878,-0.0046742936,-0.0016906268,0.013518593,-0.003056036,-0.016487645,0.046095613,0.012990762,0.024479633,0.019360628,-0.038874187,-0.028261831,0.0576956,-0.02451776,0.03583365,0.03173798,-0.023274174,0.023198076,0.00886981,-0.014655499,-0.005800601,0.021848658,-0.0475175,0.011085375,-0.006456644,-0.027592402,0.052452326,0.058771558,0.05025834,0.03766532,0.017394342,0.022036506,0.051413853,0.039260875,0.019516088,0.05206041,0.035513707,0.04761238,0.049662456,0.052654766,0.017740792,0.047091,0.027970366,0.049818933,0.04359542,0.038499646,0.05395637,0.03231203,0.038248133,0.02126584,0.04741738,-0.0072325147,0.056603298,-0.064941354,-0.07368678,0.015136801,-0.0032226352,-0.0030691035,-0.0008921179,-0.013814052,-0.031036962,-0.044969555,-0.040240537,0.052815966,-0.010881175,0.015657328,0.033524737,-0.048196845,0.009015439,-0.0138461795,-0.03976159,0.02451932,0.04650726,0.06199311,0.018720882,0.038815178,0.044960644,0.04487416,0.026611334,0.0045323884,-0.028327662,0.032579094,-0.016543593,0.0072786356,-0.015409169,0.048798915,-0.036900744,-0.01071903,0.044633485,-0.02849631,0.002912408,-0.05074859,-0.017441947,0.012960045,-0.034467965,0.05559659,0.036631558,0.00035900052,-0.02720497,0.034976054,-0.032522425,-0.0048637073,0.04851958,-0.034171205,0.0025462224,-0.040453274,-0.035776637,-0.029165985,0.0056002806,0.051407456,-0.04495977,-0.02155952,0.0016413294,0.02014658,-0.019389365,0.016953107,-0.055324174,-0.015369837,0.002430032,0.022729002,-0.029061282,0.04454272,0.00087297393,0.010577928,-0.015431694,0.004194109,-0.0053086733,-0.05628608,0.01098022,0.013542032,0.005549195,0.04020461,0.008960464,0.06533613,0.054663982,0.005055772,-0.024587952,0.005955031,0.00042963613,0.024526434,0.0153393475,-0.026122255
-0.05344377,0.016031045,0.018432878,-0.048940383,-0.016320717,-0.013186511,-0.052097518,0.01913295,-0.025552424,0.05082564,0.030806528,-0.034350503,0.04550956,-0.010753306,-0.020571176,0.022385152,-0.010244526,0.015295429,-0.0269055,0.024295934,0.02156782,-0.050586477,0.00335,-0.07525924,-0.05452274,-0.023496317,0.05867802,0.066198595,0.053951684,0.05162116,0.05686812,0.04995556,0.011301241,0.015265358,-0.015360417,0.00091960415,0.054832757,0.040651336,0.05231452,0.056331396,0.07151468,0.04391755,0.02918368,0.060447413,0.049859393,0.065333836,0.044807237,0.028635599,0.04458989,0.060878817,0.05657055,0.06486584,-0.039850622,-0.014008344,0.018582113,0.024443885,0.018422438,-0.019136062,0.0094122905,0.03319877,-0.041080836,0.018947978,-0.04717669,-0.034890562,-0.032843128,-0.066139415,-0.041138444,-0.034053974,-0.062001105,-0.07487604,-0.03016362,0.02100605,0.021305004,0.035832748,0.01375943,-0.025899932,-0.04785814,-0.012470793,0.03962673,0.026637135,0.03817712,0.0097033605,-0.04747723,-0.04908446,0.03483255,-0.039718956,-0.036252722,0.02543629,0.017195875,-0.07203766,0.039603725,0.046659514,0.05916469,-0.013412369,0.01587525,-0.022008006,-0.061684597,0.006145536,0.048990004,-0.013068318,-0.04282028,0.035936672,-0.003316436,-0.008289519,-0.021125492,0.014451296,-0.04184745,-0.042162526,-0.017365985,0.012624406,0.03212865,-0.019257946,-0.046709713,0.012631157,-0.01871578,0.006309098,-0.0004984667,0.053778138,0.04819453,0.027455045,-0.038163424,-0.062071394,-0.0083861705,-0.054737933,0.041874167,0.012833962,-0.06908685,-0.02368379,0.04313751,-0.012510289,-0.058313627,0.032704473,-0.0357849,-0.055630744,0.008064527,0.007266794,0.033496834,-0.0067932005,0.03417446,-0.0059351344,0.028636273,-0.058499772
-0.012560959,-0.025210876,-0.03065157,-0.03603403,0.0015064427,0.0873378,-0.034379583,-0.047022615,0.048474148,-0.008810496,-0.06115824,-0.061516,0.053050317,0.04749296,-0.020171268,0.013499574,0.07032019,-0.043324765,-0.021072712,-0.0072931005,0.010804799,-0.006251715,-0.039529208,-0.021106854,0.06407091,-0.03394006,0.034758583,0.048669793,0.0274829,0.060354132,0.043791026,0.018624682,0.048313506,0.03924624,0.034767333,0.033047006,0.040144887,-0.010340751,0.0630125,0.05396317,0.048202965,0.050490398,0.039542172,0.032928072,-0.037676588,-0.051843565,0.027049396,0.01526067,-0.0017370674,0.02182689,0.050776716,0.06689768,-0.0017720112,0.035213456,0.028503666,0.030407466,0.011981096,0.038343135,0.030386213,0.011948752,0.05245311,-0.0041251215,-0.03598791,-0.033858802,-0.031409185,-0.020618668,0.015275606,0.00486515,-0.021502875,-0.07710303,0.03450753,0.06251262,-0.0010732807,0.057989355,-0.041110512,0.036012918,-0.039387535,0.069278695,-0.012894713,0.07307066,0.07735366,0.06321495,0.07948833,0.005951154,-0.06174346,0.024961911,0.034533337,0.01978596,0.022369415,-0.047786072,-0.03562449,-0.04872547,0.051767092,0.0021260476,0.023560783,-0.032993205,-0.042560898,-0.04301678,0.060827855,0.013857492,-0.012814733,0.061211213,-0.0067204908,-0.054412305,0.034883767,0.047524672,0.009566919,0.0038007325,-0.06014049,-0.03865462,-0.017908752,-0.04960892,0.024662526,0.069447115,-0.008986979,0.024175895,-0.025920695,0.051878706,0.04353072,0.049314313,0.012387435,-0.043748062,0.044063654,0.00059648784,0.022643995,0.05076258,-0.04609813,0.0016138578,0.06760518,0.021289676,-0.06116405,0.039029825,0.015599161,-0.014489072,0.013588386,0.07520165,0.08482568,0.05331267,0.060583208,-0.020197503,0.014069967,-0.03740253
0.03153719,0.046433877,0.05760151,0.046213426,0.06511725,0.022389693,0.0755767,0.06253615,0.054511677,0.054926187,0.042031627,0.049167212,-0.048564374,0.06517504,0.05349946,0.055990543,0.07099618,0.06695549,0.0295319,0.0507093,0.06501114,0.045195088,0.013841409,0.058349654,0.044546526,0.036674276,0.0040022847,0.018961417,0.034336615,0.050596066,-0.018655209,0.036635473,0.059605516,0.029091729,0.00244572,0.002936264,0.037647415,0.012202379,0.0421525,0.011113198,0.0064020758,-0.020218177,0.057886954,0.022442022,0.015629577,-0.0150104845,0.04954034,-0.0006525463,0.047171887,0.06106275,-0.011440533,-0.002745869,0.05433432,0.043069758,0.050461866,0.04505626,0.05332366,0.0242543,0.038901605,0.043774046,0.056820434,0.0739426,0.0131393885,0.07051614,-0.013256129,0.045586392,0.055342652,0.06766518,0.02156421,0.04883579,0.05896265,-0.0076471837,0.043846514,0.021591188,0.048893332,0.028221559,0.013223431,0.04073919,0.024110934,0.028796786,-0.01743405,0.05282829,0.048585456,0.069196604,-0.037053414,0.043390997,0.071253635,0.06861384,0.02034841,0.019741911,0.06943322,0.030076517,0.058957353,0.061378375,0.0002537836,0.07517385,0.06725889,0.016737431,0.048931763,0.06700919,0.047747783,0.02531503,0.008445585,0.07202871,0.07000036,0.019234989,-0.020524338,0.028652027,0.033774335,0.040862158,0.05191172,0.06798861,0.0341633,0.030652983,0.041957606,0.053860813,0.0189825,0.060566805,0.06649936,0.055455543,0.038835675,0.011758112,0.033513784,-0.013270767,0.066992894,0.051760085,0.067268595,-0.014572367,0.036636103,0.062362257,0.06556937,0.042546432,0.04361103,0.02590984,0.05773156,0.071414195,0.06091364,0.067720085,0.010446124,0.036134418,0.018307714,0.06939712
0.07111524,0.06578988,-0.02404349,0.02906151,0.037038457,-0.010147125,-0.02060835,0.018076474,-0.0032806797,0.051203985,0.05775501,0.049106926,-0.0021104426,0.011599506,-0.044181895,0.0658049,0.039197046,0.020482644,-0.04791645,0.05273276,0.07424599,-0.06662648,0.06635993,0.06203512,-0.013581588,-0.033397235,0.04098333,0.019209856,0.035598744,-0.025235394,0.026636701,0.0336004,0.008215449,0.053676687,0.034320712,0.055371616,0.062953755,0.01333844,0.053883735,0.052491788,0.058439687,0.03669063,0.048574142,0.009612672,0.04439982,0.0553061,0.05175214,0.017794335,0.06305399,0.044440504,0.02507222,0.06503349,-0.014116207,-0.022153674,0.03924871,0.025062539,0.017715454,-0.009284829,0.06222602,0.039859623,0.04604021,0.027383437,-0.0142844375,-0.04077918,-0.0706417,-0.040535454,-0.0466477,0.033924688,-0.038889743,-0.053704415,0.029307706,0.04075134,0.04394881,0.043204628,-0.052161723,0.04174076,-0.012717168,0.0539509,0.06277612,-0.047469974,-0.017039455,-0.013461635,0.06001269,0.0071841697,0.07225483,-0.020371249,0.030725926,0.05473278,0.029001998,0.054201506,-0.010381455,0.016341597,0.005100659,-0.066109344,-0.02063997,-0.031970523,0.03493644,0.03691875,0.031600375,-0.005649068,-0.07115647,-0.015841799,0.022822106,0.057522792,0.03610764,-0.06294224,0.06398173,0.04431116,0.029234458,0.016706198,0.022007413,0.07047641,0.03868301,0.06056675,-0.010299117,0.03992407,-0.051362105,0.08148907,0.073076196,0.059821874,0.006527866,-0.040196594,0.08421514,-0.06508103,0.060746074,0.0640726,0.044997375,0.049246643,0.039977305,0.012813283,0.0726115,0.025081292,0.047541883,0.001048305,0.0004716696,0.0017275277,0.03254294,-0.017936595,-0.009001099,0.06609203,0.032061826,0.05408597
-0.03231874,-0.04550388,-0.007003701,0.058467645,-0.05542947,-0.07778116,0.015255224,-0.05410671,0.04284693,-0.043357663,-0.008478036,-0.07619805,0.0548658,-0.041756187,-0.08230099,-0.049635436,0.036175717,0.031137757,-0.06844169,-0.053722594,-0.054048058,0.015250906,-0.080657504,-0.081718825,0.014250147,0.012930545,-0.047536198,-0.0170945,0.01895712,0.033339135,-0.030866586,-0.042718533,0.0019226951,-0.06795608,-0.06326264,-0.053046778,-0.05753687,-0.05912067,-0.054197885,-0.034915086,0.016268551,-0.019661432,0.039670996,-0.008876403,-0.018904671,-0.029078709,-0.06800172,-0.06683618,-0.01652839,-0.04187695,-0.035974845,-0.045204747,-0.021802343,0.0572898,-0.069368936,-0.07841207,-0.03830381,-0.028080184,0.042589318,-0.052000795,-0.0751767,-0.04730483,-0.0459594,-0.0082052285,0.017295843,-0.078551054,-0.019372096,-0.053413786,-0.06257364,-0.0051246905,-0.06075844,0.046807926,-0.05371643,-0.0050772806,0.060440324,0.033725977,-0.07453702,-0.07864052,-0.059708167,0.056135744,-0.023590006,0.05281211,0.062193807,-0.061659172,0.05435346,-0.013585188,-0.021544332,-0.07601894,-0.06674014,-0.054922692,-0.06127771,0.07046208,-0.060329225,-0.042747464,-0.036122598,-0.0003912766,-0.0028774645,-0.005233227,-0.011519819,-0.07413407,-0.06240819,-0.0372216,0.02525515,0.0129203405,-0.076350674,-0.062485296,-0.07815894,0.05955829,-0.062009264,0.049015988,-0.034185488,-0.029207958,-0.044300474,-0.06451189,-0.059937924,-0.0013126538,-0.014465555,-0.034364156,-0.055998303,-0.011675175,-0.004876547,-0.06405731,-0.0126036685,-0.07375278,-0.03346102,-0.0020949899,0.019826608,-0.031447012,-0.05390638,-0.06548839,0.009846938,-0.012018434,-0.064601086,-0.07228757,-0.035954032,-0.0068416405,-0.06211312,-0.036238372,-0.070384756,-0.07105664,-0.06316008,-0.010708029
0.04317405,0.012128797,-0.003196,0.06594794,0.031916108,0.05325604,0.07577652,0.031566855,0.029684896,0.045021724,0.055276014,0.061000183,0.039557155,0.031087931,0.066410184,0.04642082,-0.0376264,0.011685229,0.03469267,0.009671503,0.058261644,-0.021047449,0.02957333,0.0010221746,-0.013656674,0.06103418,0.054130886,0.0659966,0.045074962,0.013560629,-0.044902943,0.009917501,0.025523653,0.05212867,0.036984015,0.057347603,0.058525667,0.047556408,0.058812886,0.06260424,0.06607512,0.04199915,-0.014459793,-0.02539317,0.013583693,0.029105226,0.043294728,0.053554725,0.057193995,0.042649817,0.05863635,0.036134165,-0.0053355973,0.013644251,0.06725912,0.06472202,-0.008650534,0.042466514,0.032804072,0.05672685,0.07760273,0.027693052,0.0108093405,0.01979255,0.00870732,-0.009979881,0.0043944,-0.030375969,-0.00066888495,-0.0051941797,0.007915021,0.011028987,0.02701931,0.024376618,0.012022765,-0.003478779,0.018407753,0.0070907683,0.022360953,0.037237346,0.0059660934,0.0020091617,0.04090147,0.042046405,-0.019470938,-0.0069710254,0.044907335,0.029980876,0.041713033,-0.005551394,0.031128103,0.028368572,0.025562251,0.019998902,0.01763804,-0.008074928,0.027444912,-0.0016471236,0.04459197,0.037992544,0.04106085,-0.03287833,-0.049985737,0.04806485,0.045386337,0.06593316,0.042420644,-0.00088889955,-0.019196296,-0.035180844,0.066919826,0.06852576,0.047749486,-0.013722496,0.0008835348,-0.013787407,0.011450705,0.07320101,0.053133734,0.05231118,-0.015542862,-0.04397402,0.03437056,0.03131753,0.020703737,0.008923611,0.031082043,-0.06819155,0.03661024,0.04243673,0.02933229,0.02920798,0.045982335,0.07126239,0.003075522,0.05388657,0.02908063,0.059046403,0.015241095,0.034928933,0.034138557,0.03658212
-0.06767252,0.065285966,-0.04537272,-0.049016677,0.011460768,0.04280936,0.058261603,-0.04145314,-0.015502313,-0.018001433,0.06590877,0.030359797,0.022793446,0.019858781,0.06921085,-0.017729172,0.05596218,0.012546263,0.036934502,-0.0037919437,0.05890134,-0.04742504,0.0012467864,-0.0062726396,0.057787642,0.004072916,0.048776682,0.03026843,0.006979824,0.050956815,0.060015853,0.040475674,0.014208273,0.042383518,0.029873397,-0.001396602,0.004057171,0.059841838,0.04342749,0.04396272,0.035182375,-0.0048308144,-0.016439026,-0.0027538422,0.0030508267,0.026957367,-0.019555196,0.042497087,-0.014326602,-0.015342037,0.026390517,0.05244611,0.021078523,0.0003861558,0.027139677,0.019564105,0.047015373,-0.0069885817,-0.020886013,0.010397149,0.033392698,-0.011438078,0.05883345,-0.049539775,0.0051100915,0.036645677,0.0104760025,0.03345313,-0.015522741,-0.02137811,-0.022493435,0.00076309283,-0.060482398,-0.017205222,-0.026023665,0.013620964,0.05875409,-0.00549626,0.014486967,0.06308294,0.04537207,-0.020991515,0.029066078,0.00043463177,0.07279403,0.008250443,0.04195588,-0.016644374,0.03645228,0.036397,0.0037712,0.005749654,0.034708124,-0.011747405,-0.03504531,0.012745194,0.009026452,0.00048680278,-0.023722913,-0.06125297,0.04485512,0.0037708706,0.00062683196,0.032860387,-0.0886073,0.065556236,-0.0114219915,0.035355568,0.057835776,-0.008263256,0.01395807,0.018071309,-0.0075305533,-0.012220636,-0.0011025287,0.039915953,-0.029230088,0.04972379,0.0489696,0.046752304,0.062996045,0.005593189,0.0364595,0.06574126,-0.011282593,-0.002328778,0.012952612,0.042979605,0.06719159,0.0065781814,-0.003945435,0.009977613,0.04778702,0.055571396,0.038855344,-0.034595147,-0.021218037,0.045502737,-0.036815185,-0.021429192,0.023030972,-0.041869674
-0.018449893,0.035925835,0.058325313,0.054881714,0.02331601,0.0013082831,-0.010231356,-0.018119784,-0.0031226105,0.06953966,0.044430837,0.04089346,-0.008699834,-0.00889292,0.04093202,0.02356607,0.0023032108,0.07386827,0.061110053,0.04984509,-0.011135609,0.029845856,0.029159771,-0.05302595,-0.07110879,0.033334088,-0.06784859,-0.017559601,-0.018811766,-0.0018132494,-0.00035813006,0.043139003,0.04059362,0.05115758,0.00036558046,0.036657654,0.015067702,-0.011138474,0.025448963,0.018665385,0.0046380265,-0.009166895,0.03094397,0.011894745,0.013201803,0.011419006,0.018995324,-0.0054956046,0.021599406,-0.06260717,-0.06304083,0.04324321,0.057583548,0.03021494,-0.023572378,0.03575824,0.03751311,0.019371543,0.052628398,0.01431194,0.021138525,0.036554284,-0.019260736,0.0082585635,0.019580137,-0.0018027789,0.029673576,0.025713725,0.05569208,0.053056862,0.07106107,-0.04064853,-0.05614295,-0.012785272,0.024062052,-0.0001322655,-0.0038053796,0.006121087,-0.020480856,0.021712022,0.015915317,0.06003769,0.044626545,0.0406893,-0.028508376,0.03222815,-0.067379184,0.020976974,0.0106405215,0.031950373,-0.012377733,0.00849169,0.06175242,0.041648395,-0.013264642,-0.003980156,0.006593712,0.034144312,0.04676533,0.050490513,-0.016912589,0.059358407,-0.021133717,0.02824582,0.014868538,-0.018681278,0.028927669,-0.0035855896,0.065388404,0.026527125,-0.045963995,0.0009375811,-0.008345835,-0.012719584,0.06439638,0.0347045,0.053447343,0.00548096,-0.01198109,0.002967192,0.051295698,-0.012894671,-0.023545193,0.059105657,0.040100474,0.051941417,0.039644886,0.021287728,0.039448764,0.038378965,-0.06136367,0.059398726,-0.0030849383,-0.03612383,0.039660487,0.009928682,0.00043477042,-0.0018041261,0.006978236,-0.025322808,0.008173503,0.007851845
-0.008168036,0.040184967,0.092896424,0.04551498,0.040562175,-0.008722823,0.022926796,0.067568764,0.07348656,0.05793047,0.04799326,0.06862752,0.07066866,0.066643015,0.060551032,0.040888652,0.015055585,0.03493708,0.04569943,0.063431896,0.029877735,0.040997513,0.07033031,0.024358291,0.020965183,0.025937183,0.04794704,0.036063604,0.040095992,0.030032288,0.07612912,0.05440965,0.042655244,0.039122373,0.040417533,0.03935716,0.0592334,0.07137535,0.019789223,0.048598573,0.042917732,0.04991004,0.014027826,0.021499993,0.070723705,0.06938015,0.0626458,0.058166664,0.049807835,0.022545746,0.04577729,0.04785904,-0.007035921,-0.05252886,0.042173423,0.03648529,0.043091957,0.023799865,0.040324707,0.049608056,0.03259718,0.061731443,0.044547908,0.04362196,-0.00988406,0.007036482,0.043166988,0.01731118,0.0019714357,0.05446314,0.03587571,0.05398813,0.015005101,0.018815901,0.051790666,0.041368842,0.052479945,0.045661833,0.06570042,0.012305753,0.014203497,0.070329905,0.060819272,0.03712359,0.059843272,0.027904589,0.043504536,0.026879935,-0.041883834,0.040510092,-0.018626321,0.033315547,0.048408166,0.032439627,-0.017430246,0.052161336,0.036535162,0.07675358,0.047922272,0.04011983,0.01769492,0.029906433,0.0612763,0.019059744,0.03327821,0.026008386,0.02223887,0.038744178,0.013160548,0.061135285,0.07241762,0.034000773,0.06083184,0.029508976,0.0074407496,0.06390756,0.044770006,0.02083002,0.062407013,-0.025902197,0.042150985,0.026959212,0.001295488,0.046749268,0.06890794,0.057004414,0.033974804,0.021771096,-0.0101062,0.043509275,0.05274774,0.030373907,-0.003805907,-0.039409965,0.07688307,0.069698274,0.06999857,0.031038767,-0.028521128,0.07480141,-0.0037593115,0.02132998
