subj_id	Word	Start_time	End_time	Confidence	Words_Confidence
65c25cf77dca9d7ca7d9ebdb	microwaves	1.8	3.7	0.5474298596382141
65c25cf77dca9d7ca7d9ebdb	fridge	4.6	5.4	0.9367414712905884
65c25cf77dca9d7ca7d9ebdb	freezer	5.4	6.5	0.9367414712905884
65c25cf77dca9d7ca7d9ebdb	Oster	7.8	8.6	0.9161632657051086
65c25cf77dca9d7ca7d9ebdb	toaster	8.6	10.2	0.9161632657051086
65c25cf77dca9d7ca7d9ebdb	oven	10.2	11.0	0.9161632657051086
65c25cf77dca9d7ca7d9ebdb	air	12.6	13.1	0.7840868234634399
65c25cf77dca9d7ca7d9ebdb	fryer	13.1	13.6	0.7840868234634399
65c25cf77dca9d7ca7d9ebdb	mixer	15.0	15.8	0.3312820494174957
65c25cf77dca9d7ca7d9ebdb	coffee	18.0	18.8	0.8363499045372009
65c25cf77dca9d7ca7d9ebdb	machine	18.8	19.3	0.8363499045372009
65c25cf77dca9d7ca7d9ebdb	can you be	34.6	35.3	0.5247309803962708
65c25cf77dca9d7ca7d9ebdb	born	35.3	35.4	0.5247309803962708
65c25cf77dca9d7ca7d9ebdb	ice	38.3	38.9	0.6025038361549377
65c25cf77dca9d7ca7d9ebdb	maker	38.9	39.4	0.6025038361549377
65c25cf77dca9d7ca7d9ebdb	rice	49.7	50.2	0.9876290559768677
65c25cf77dca9d7ca7d9ebdb	cooker	50.2	50.7	0.9876290559768677
65c25cf77dca9d7ca7d9ebdb	steamer	56.0	56.9	0.490818589925766
65c25cf77dca9d7ca7d9ebdb	fryer	60.6	61.3	0.9611221551895142
65c25cf77dca9d7ca7d9ebdb	dishwasher	94.0	95.0	0.9685218930244446
65c25cf77dca9d7ca7d9ebdb	ink	98.3	99.1	0.2840687334537506
65c25cf77dca9d7ca7d9ebdb	Smith	116.7	119.0	0.5359112024307251
65c25cf77dca9d7ca7d9ebdb	fire	119.0	119.4	0.5359112024307251
65cb63e160bb47fbf9349269	oven	2.8	3.5	0.9686346054077148
65cb63e160bb47fbf9349269	microwave	3.5	4.8	0.9686346054077148
65cb63e160bb47fbf9349269	fridge	4.8	6.3	0.9686346054077148
65cb63e160bb47fbf9349269	coffee	6.3	7.5	0.9686346054077148
65cb63e160bb47fbf9349269	maker	7.5	8.1	0.9686346054077148
65cb63e160bb47fbf9349269	mixers	12.8	13.7	0.8501827120780945
65cb63e160bb47fbf9349269	ovens	22.2	23.1	0.9167627692222595
65cb63e160bb47fbf9349269	toaster	25.1	25.8	0.9743127822875977
65cb63e160bb47fbf9349269	ovens	25.8	26.4	0.9743127822875977
65cb63e160bb47fbf9349269	toasters	26.4	27.3	0.9743127822875977
65cb63e160bb47fbf9349269	washing machine	35.9	37.2	0.9006363153457642
65cb63e160bb47fbf9349269	drawing	37.2	37.7	0.9006363153457642
65cb63e160bb47fbf9349269	machine	37.7	38.0	0.9006363153457642
65cb63e160bb47fbf9349269	dishwasher	59.8	60.8	0.9769045114517212
65cb63e160bb47fbf9349269	Dothan	71.9	73.1	0.3809574544429779
