acapulco chair,0.0001,1.0
accent mirror,0.0001,1.0
accent table,3.2258259914618934,1682.0
adirondack chair,4.223080397831155,16714.0
armchair,6.410675520662582,2574397.0
armoire,5.319980017164956,208920.0
auditorium chair,3.3898745583909853,2454.0
balans chair,2.7218106152125467,527.0
bar cabinet,3.3942765267678214,2479.0
bar cart,3.6732974397596356,4713.0
bar stool,5.2171679787711565,164880.0
barber chair,4.492746424349529,31099.0
barrel chair,3.6675463395115164,4651.0
beach chair,4.602092562192713,40003.0
bean bag chair,3.657533887557986,4545.0
bed,8.167861336235209,147184249.0
bench,7.4621560734298455,28983850.0
bench seat,5.1576441059965905,143762.0
bench with storage,2.56702636615906,369.0
bookcase,6.077984928119279,1196699.0
bookshelf,6.004946136241336,1011454.0
booster seat,4.615434481109406,41251.0
bubble chair,2.7958800173440754,625.0
buffet,6.4181706518058945,2619212.0
buffet hutch,1.8976270912904414,79.0
buffet server,3.1277525158329733,1342.0
buffet table,4.997910367346743,99520.0
bungee chair,0.0001,1.0
bunk bed,4.8897049887855095,77572.0
butterfly chair,3.5872618496925344,3866.0
c-table,3.3703280077795106,2346.0
camp chair,4.448211467856778,28068.0
camping stool,2.8609366207000937,726.0
canopy bed,4.667350204407376,46489.0
chair,7.947471596008238,88607727.0
chaise longue,5.124562909312704,133218.0
chaise lounge,4.770896174937124,59006.0
chest,7.709019898236597,51170528.0
chest of drawers,5.742411666490896,552601.0
chesterfield sofa,3.690373306916059,4902.0
cheval mirror,4.074560467802895,11873.0
china cabinet,4.780756426114891,60361.0
church pew,4.480696664354479,30248.0
closet organizer,3.4768316285122607,2998.0
clothes rack,4.466926905656488,29304.0
club chair,4.493555634296779,31157.0
coat rack,4.839616295680294,69122.0
cocktail table,4.527861806322702,33718.0
coffee table,6.168210117697968,1473025.0
conference chair,4.637379640922332,43389.0
console cabinet,3.7683420586445333,5866.0
console table,4.640372104232293,43689.0
counter height table,0.0001,1.0
counter stool,3.912806392661292,8181.0
credenza,5.054804500220955,113450.0
cube organizer,0.0001,1.0
curio cabinet,4.177449920971825,15047.0
daybed,4.893933670928024,78331.0
deck chair,5.074874927546065,118816.0
dental chair,4.9929200613985625,98383.0
desk,7.57407366438085,37503661.0
dining chair,4.490520309363348,30940.0
dining table,5.8502742610493845,708393.0
director's chair,4.546851001781394,35225.0
director's stool,1.863322860120456,73.0
display cabinet,4.708972978463079,51165.0
divan,6.033721627581482,1080741.0
drafting chair,2.890979596989689,778.0
drawer organizer,2.988112840268352,973.0
dresser,6.597259356788251,3956028.0
dressing mirror,4.121362840563391,13224.0
dressing table,5.74194222477926,552004.0
egg chair,3.231979026831504,1706.0
end table,5.356819106800188,227415.0
entertainment center,5.107382974392001,128051.0
entertainment unit,4.044382947073537,11076.0
entryway bench,2.1958996524092336,157.0
entryway table,3.544564097496043,3504.0
ergonomic chair,3.951386094880293,8941.0
executive chair,4.83305144179853,68085.0
exercise ball chair,0.0001,1.0
fishing chair,3.45408227073109,2845.0
floor mirror,3.2946866242794433,1971.0
folding chair,5.245122614706487,175842.0
folding screen,4.669558604643371,46726.0
folding stool,4.280646650296195,19083.0
folding table,5.072933345789844,118286.0
footboard,5.356163585143576,227072.0
footstool,5.873704146403045,747660.0
four-poster bed,5.103444510075872,126895.0
full-length mirror,5.117019265436686,130924.0
futon,5.290911223625851,195394.0
gaming chair,2.833147111912785,681.0
glider,6.105609975879276,1275293.0
hall tree,4.221935599828005,16670.0
hallway table,3.7265642161622448,5328.0
hammock,6.235305182364883,1719116.0
hanging rail,3.499687082618404,3160.0
hassock,5.053926986377616,113221.0
headboard,5.690527435499204,490374.0
high chair,5.375257473061311,237278.0
hutch,5.910375708107325,813534.0
jewelry armoire,2.5622928644564746,365.0
jewelry organizer,2.6473829701146196,444.0
kneeling chair,2.9628426812012423,918.0
ladder shelf,2.1760912590556813,150.0
lift-top coffee table,0.0001,1.0
liquor cabinet,4.853077347507599,71298.0
loft bed,3.8518085142282374,7109.0
lounge chair,5.205047296397122,160342.0
loveseat,4.9460148025782775,88311.0
magazine rack,4.790566625146076,61740.0
makeup vanity,2.4927603890268375,311.0
massage chair,3.9417598138146954,8745.0
media console,3.061829307294699,1153.0
meditation chair,2.962369335670021,917.0
modular sofa,3.166133970305109,1466.0
mudroom bench,2.089905111439398,123.0
murphy bed,4.245710029545291,17608.0
nesting tables,3.569373909615046,3710.0
nightstand,5.798565711510641,628877.0
office chair,5.183984062077016,152751.0
ottoman,6.949120025803476,8894469.0
ottoman coffee table,1.7481880270062005,56.0
papasan chair,3.189770956346874,1548.0
paravent,3.620864475265121,4177.0
pilates chair,0.0001,1.0
plant stand,4.785835031358666,61071.0
poof,5.371874715232624,235437.0
pouffe,4.172778014655853,14886.0
power lift chair,0.0001,1.0
pub table,3.526339277389844,3360.0
reception chair,3.121887985103681,1324.0
recliner,5.55913785394601,362358.0
rocking chair,5.820338099489303,661208.0
room divider,4.471012851443871,29581.0
salon chair,3.5420781463356255,3484.0
sectional sofa,4.221544637027195,16655.0
server,7.399041163587802,25063468.0
settee,5.864568627197488,732097.0
shelving unit,4.346939462698991,22230.0
shoe cabinet,3.216165902285993,1645.0
shoe rack,4.232284402080395,17072.0
side chair,4.897775495691278,79027.0
side table,5.563267445405564,365820.0
sideboard,5.989664242121852,976482.0
sleeper sofa,3.9817280253616163,9588.0
sleigh bed,4.259187582942805,18163.0
sofa,6.925578621119794,8425169.0
sofa table,4.323850003846802,21079.0
stackable chair,3.1646502159342966,1461.0
stacking chair,3.9617532141867824,9157.0
