Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
51.0,0.42952332331079424,0.11261454423139844,5.934220527828572,0.8401838179697461,0.297175,0.22989210957632833,35.0,norms_associative,14,2.5,2.1957751641341994
71.0,0.37501578111100997,0.09937819728655263,5.974099939972973,0.7957823439828968,0.17612307692307694,0.04595498075737011,37.0,norms_associative,19,1.85,1.107925990308017
198.0,0.43731150446462225,0.1216461927709532,5.96931485848,0.8329002495614642,0.16638,0.05516991531220213,25.0,norms_associative,12,2.0833333333333335,1.2555432644432802
199.0,0.4379586009312314,0.1109013145669823,6.2657959634000004,0.6869294246867735,0.1786375,0.06815292485775401,40.0,norms_associative,21,1.9047619047619047,1.191428190780648
285.0,0.4913557467731979,0.16477697694385177,6.096741969315789,0.9980420923562132,0.33799999999999997,0.2948847187178972,38.0,norms_associative,6,5.428571428571429,3.697765458727081
286.0,0.43788622323718496,0.11511347123244885,5.962660723451613,0.8808477616962386,0.2813,0.16299266854677852,31.0,norms_associative,16,1.9375,1.248436522214886
287.0,0.4633093640376277,0.1303616373298948,6.079588441978724,0.7548169448623443,0.23713076923076923,0.11123821574003086,47.0,norms_associative,17,2.764705882352941,1.7666655785507304
288.0,0.41747987257815244,0.11583296352290337,5.96472796576087,0.7708579145550414,0.1636764705882353,0.05703753730452171,46.0,norms_associative,19,2.3,1.4866068747318506
289.0,0.4191465624164949,0.12878888443442357,6.146358868162162,0.7968666894985867,0.2513125,0.1791354111718682,37.0,norms_associative,18,2.0555555555555554,1.2234841969747356
290.0,0.4330644654147968,0.12273401570185982,5.952504622628571,0.9829230236538316,0.27256,0.15581768559074782,35.0,norms_associative,19,1.75,1.1346805717910218
291.0,0.40803282947619834,0.11571200905253003,6.160945730116279,0.6832915558054117,0.20716875,0.09306977109495149,43.0,norms_associative,24,1.7916666666666667,0.956520023604083
292.0,0.43696035201952166,0.10380282937784886,6.053106381903226,0.8101569202791685,0.24430000000000002,0.10977923300879816,31.0,norms_associative,18,1.631578947368421,1.0367218738732742
293.0,0.41930477113830406,0.11467309423538312,5.961679172357143,1.141971269196292,0.18947142857142857,0.10756394554381306,28.0,norms_associative,10,2.5454545454545454,2.3496087242400154
294.0,0.4670884119090562,0.1472839341249278,5.944038645358974,0.7627972300417308,0.23148125,0.11235600692293522,39.0,norms_associative,14,2.6,1.9595917942265426
295.0,0.42221104127199294,0.12052181618815745,5.951940191195122,0.7347841036613018,0.20925,0.09702530446168336,41.0,norms_associative,21,1.9523809523809523,1.646820615789579
296.0,0.4684245612315943,0.13557822912291664,5.9925614048387095,0.6531879934052719,0.19626363636363636,0.09523501743295136,31.0,norms_associative,15,2.066666666666667,1.2892719737209144
297.0,0.432150113474361,0.13723822632369764,5.888877555893617,0.7768406924711723,0.26308695652173913,0.15853024175029543,47.0,norms_associative,29,1.6206896551724137,0.8474624639616902
298.0,0.39132496360887886,0.08047222542184869,6.254007792060606,0.6782424630967496,0.2347,0.10884375651976247,33.0,norms_associative,17,1.9411764705882353,1.1616716269489116
379.0,0.41322113912921327,0.10896895083386055,5.8898122419375,0.8856322645886339,0.23406363636363636,0.09817357355956105,32.0,norms_associative,16,1.8823529411764706,0.9629826790438176
380.0,0.43989313804455027,0.12807641555100502,6.245747128266667,0.7050013606171371,0.2436153846153846,0.15426789926484946,30.0,norms_associative,14,2.142857142857143,1.2453996981544784
381.0,0.42097134348876974,0.1271629412209684,6.028627018738096,0.7310814035875969,0.18780833333333333,0.07439641313852965,42.0,norms_associative,18,2.210526315789474,1.7344481108720085
382.0,0.4142252942038855,0.11323748043484703,6.290252612589744,0.6231888003645016,0.3277888888888889,0.21246601166095042,39.0,norms_associative,26,1.5,0.9302605094190635
383.0,0.3967258419138922,0.11706701769120426,6.230396716277777,0.644777763558732,0.25644,0.11717716121800831,36.0,norms_associative,23,1.565217391304348,0.8249419983047946
384.0,0.41894474899427986,0.139202124660673,6.040448044170732,0.7677690821831485,0.2205111111111111,0.0709569537187565,41.0,norms_associative,21,1.9523809523809523,1.290115922299435
385.0,0.454441470028777,0.08949658312025527,6.154212286945946,0.7651828998327654,0.18772142857142857,0.040671463792602384,37.0,norms_associative,17,2.0555555555555554,1.2234841969747356
386.0,0.4547674723224726,0.11773192530193065,6.308625631142857,0.6678928573288303,0.27202499999999996,0.18081414096090098,35.0,norms_associative,13,2.6923076923076925,1.3803352649943355
387.0,0.4154869392053358,0.11026444698347809,6.223664913,0.7126402094041231,0.20168125,0.07971965227177884,36.0,norms_associative,15,2.25,2.384848003542364
388.0,0.39843982476129686,0.11754896976864855,6.054983424975,0.7555941918005623,0.21469166666666664,0.0749467381585487,40.0,norms_associative,23,1.7391304347826086,0.9425862342903827
389.0,0.47525990331695434,0.14670768076452773,6.091085549559322,0.7277259391916774,0.20923846153846154,0.1734362616684829,59.0,norms_associative,20,2.8095238095238093,2.0381842437173994
390.0,0.4242596740424461,0.11332488364868888,5.903949781808511,0.7036507222524943,0.21430625,0.10518443147633588,47.0,norms_associative,22,2.1363636363636362,1.8900566260265261
391.0,0.4708727476412907,0.13224362744417512,6.111565665791667,0.7064440335232504,0.2024,0.05382308055100525,24.0,norms_associative,9,2.4,1.2806248474865698
392.0,0.4218758973509697,0.13560761286960527,6.239495047052631,0.7065124463906951,0.20411666666666664,0.041206718707835335,38.0,norms_associative,21,1.8095238095238095,0.9571310115353229
393.0,0.4169959232654988,0.10444277296544441,6.383256975481482,0.7156523183688935,0.17217272727272726,0.04479098326469493,27.0,norms_associative,14,1.9285714285714286,1.386891988496257
394.0,0.4208541077664501,0.0981257980275972,6.309305498190477,0.7197926067314948,0.20716,0.08312982617568739,21.0,norms_associative,16,1.3125,0.582961190818051
395.0,0.44795765310779395,0.12270983909742156,6.018128080354167,0.7650727905854089,0.21009090909090908,0.1453372167756304,48.0,norms_associative,21,2.2857142857142856,1.2399253872658609
396.0,0.38619729123453767,0.12207468876279465,5.982547047692307,0.8341094175863675,0.156,0.07088074491707885,39.0,norms_associative,27,1.4444444444444444,0.6849348892187752
397.0,0.431859710526622,0.12357273801753825,6.301046184900001,0.6157813767520478,0.19026428571428572,0.056439478915204205,40.0,norms_associative,17,2.3529411764705883,1.5696075369560392
398.0,0.422373331099677,0.11801488167389447,5.888520452763157,0.8830245100238786,0.22594117647058826,0.12666061472900486,38.0,norms_associative,19,1.9,1.1789826122551597
474.0,0.4518912280121975,0.10023414219719985,6.462804500620689,0.5758117943137939,0.3,0.25099800796022265,29.0,norms_associative,14,1.9333333333333333,1.0624918300339483
475.0,0.4096899496039351,0.11385128030536787,6.2499465875581395,0.6905668469345938,0.18327272727272728,0.04572579339736143,43.0,norms_associative,23,1.8695652173913044,0.9465887416120539
476.0,0.4481020544196048,0.12917141660689457,6.296097794766666,0.6966572286118411,0.21839999999999998,0.1444458606768178,30.0,norms_associative,14,2.142857142857143,1.2453996981544782
477.0,0.4382129009829763,0.1302617627884372,5.9615497408823535,0.7730002708467448,0.25340625,0.14800326784117526,34.0,norms_associative,16,2.125,1.2183492931011204
478.0,0.40799400095022625,0.08767937992551705,6.166911564666666,0.736948894709603,0.215175,0.07835315200150808,30.0,norms_associative,22,1.3636363636363635,0.5677270907634907
479.0,0.4472946207232174,0.1358198991418568,5.925808371195652,0.9964378941529818,0.18706875,0.08625042391200173,46.0,norms_associative,22,2.090909090909091,1.443137078762504
480.0,0.4370055951558297,0.12474623369467935,6.036931831238095,0.8048103558923915,0.26095,0.16872349767198008,42.0,norms_associative,22,1.9090909090909092,1.4112886087509113
481.0,0.4493323988106566,0.16518591966394416,5.989200282972223,0.9715435774784067,0.2988153846153846,0.23183794572270322,36.0,norms_associative,18,2.0,1.4529663145135578
482.0,0.4526697287783879,0.09727780040841319,6.516261238153846,0.5684386672512065,0.21666666666666667,0.02886751345948128,26.0,norms_associative,10,2.3636363636363638,0.9791208740244552
483.0,0.3909179672552515,0.11886991357755718,6.207105888541666,0.9073418242792766,0.14746666666666666,0.04732303878662063,24.0,norms_associative,13,1.8461538461538463,1.0262818510866412
484.0,0.43331067512991295,0.09760351626042156,6.234426495,0.6864896805309136,0.19883,0.1156560230453506,34.0,norms_associative,21,1.619047619047619,0.8438116736509215
485.0,0.38994475606981216,0.08455990689001648,6.347628585363637,0.6872656243686843,0.2484714285714286,0.10619076724282128,22.0,norms_associative,13,1.6923076923076923,0.7216024245882199
486.0,0.42527568127599374,0.14025887475643012,6.068732358666667,0.8286078149984677,0.14117142857142856,0.05772381762218366,39.0,norms_associative,17,2.1666666666666665,1.2583057392117916
487.0,0.4696063048312936,0.12987497946109575,6.0112296235454545,0.7089467570487827,0.21561111111111111,0.14429001563209812,33.0,norms_associative,16,2.0625,1.0288798520721456
488.0,0.40785029780339327,0.1120636429880984,6.1663400980930225,0.7135993076447966,0.2883272727272727,0.13037377106541861,43.0,norms_associative,24,1.72,1.1142710621747296
489.0,0.41457288366676287,0.08356077202330693,6.343447595827587,0.6273808634259705,0.18630000000000002,0.05109398203311228,29.0,norms_associative,11,2.6363636363636362,1.9198829165402613
490.0,0.4306774679244002,0.12791745066414753,6.163955999421052,0.8001863047236314,0.2399916666666667,0.15235165934790668,38.0,norms_associative,21,1.8095238095238095,1.0962728031639368
