all saints' day,5.2031281165912135,159635.0
all souls' day,4.874400633573255,74886.0
anzac day,5.208253193072685,161530.0
arbor day,5.612037500358888,409296.0
armistice day,5.495902170844131,313258.0
ascension day,5.393833071299548,247647.0
bastille day,4.934660019133044,86032.0
black friday,5.095535469520918,124605.0
boxing day,5.515685785267949,327858.0
children's day,5.24356632568373,175213.0
chinese new year,5.357387824937072,227713.0
christmas,7.6342261027844875,43075081.0
cinco de mayo,4.981728025361616,95880.0
constitution day,5.1367110569541365,136997.0
day of the dead,5.040258090598974,109713.0
diwali,5.203853895788335,159902.0
earth day,5.432404822145081,270648.0
easter,7.110918168552671,12909760.0
eid al-adha,4.175308824585785,14973.0
eid al-fitr,4.238146506431035,17304.0
epiphany,6.202106438694884,1592599.0
father's day,5.341843894029949,219707.0
good friday,6.208343521662571,1615636.0
grandparents day,4.107650826146487,12813.0
groundhog day,4.82198490451679,66372.0
halloween,6.196721268044998,1572973.0
hanukkah,5.461141219899665,289162.0
independence day,6.110196984439107,1288834.0
international day for biological diversity,2.900913067737669,796.0
international day for disaster reduction,2.4800069429571505,302.0
international day for mine awareness,1.9867717342662448,97.0
international day of democracy,2.584331224367531,384.0
international day of families,2.9185545305502734,829.0
international day of forests,2.225309281725863,168.0
international day of friendship,1.9590413923210936,91.0
international day of happiness,2.5899496013257077,389.0
international day of human rights,2.403120521175818,253.0
international day of older persons,2.988112840268352,973.0
international day of peace,3.7016543173257483,5031.0
international day of rural women,2.0718820073061255,118.0
international day of the midwife,2.3636119798921444,231.0
international day of tolerance,2.1702617153949575,148.0
international literacy day,4.110858956731867,12908.0
international men's day,2.7259116322950483,532.0
international volunteer day,3.030599721965951,1073.0
international women's day,4.901169422221485,79647.0
international youth day,3.404320467221731,2537.0
kwanzaa,4.985493836151524,96715.0
labor day,6.194059551531244,1563362.0
liberation day,4.8668129013438675,73589.0
mardi gras,5.721963868574804,527186.0
memorial day,6.141726254135465,1385882.0
mother's day,5.65541506529861,452288.0
national day,5.809866642251538,645456.0
national day of prayer,4.656921908795358,45386.0
new year's day,6.134555754390993,1363188.0
passover,6.503279030660346,3186244.0
ramadan,5.931310877308429,853711.0
reformation day,4.003718963823115,10086.0
remembrance day,5.097621672556923,125205.0
republic day,5.137243307828379,137165.0
rosh hashanah,5.335014352879332,216279.0
teacher's day,4.192149125018534,15565.0
thanksgiving,6.878639831729194,7562055.0
valentine's day,5.787575232122187,613162.0
veterans day,5.2594553029846,181742.0
victory day,4.791255434936629,61838.0
world aids day,4.562173863364649,36490.0
world cancer day,2.7664128471123997,584.0
world diabetes day,3.302114376956201,2005.0
world environment day,4.42206429813628,26428.0
world food day,4.6499089941643446,44659.0
world health day,4.438099126503389,27422.0
world refugee day,3.5451833682154064,3509.0
world water day,3.834929096460576,6838.0
world wildlife day,2.4885507165004443,308.0
yom kippur,5.814005069143945,651636.0
