4th of july,all saints' day,all souls' day,anniversaries,anzac day,april fool's,april fool's day,april fools,arbor day,armistice day,ascension day,bank holiday,bastille day,black friday,boxing day,carnivale,children's day,chinese new year,christmas,christmas eve,christopher,christopher columbus day,cinco de mayo,columbus day,constitution day,day of the dead,democracy day,dia de los muertos,diwali,earth day,easter,easter day,eid al-adha,eid al-fitr,election day,epiphany,fat tuesday,father's day,flag day,fourth of july,good friday,grandparents day,groundhog day,groundhog's day,halloween,hanukkah,holi,inauguration day,independence day,indigenous peoples day,international day for biological diversity,international day for disaster reduction,international day for mine awareness,international day for monuments and sites,international day for the elimination of racial discrimination,international day for the elimination of violence against women,international day for the eradication of poverty,international day of biological diversity,international day of charity,international day of commemoration and dignity of the victims of the crime of genocide,international day of democracy,international day of families,international day of forests,international day of friendship,international day of happiness,international day of human rights,international day of human space flight,international day of non-violence,international day of older persons,international day of peace,international day of persons with disabilities,international day of rural women,international day of solidarity with palestinian people,international day of sport for development and peace,international day of the girl child,international day of the midwife,international day of the world's indigenous peoples,international day of tolerance,international day of zero tolerance for female genital mutilation,international literacy day,international men's day,international volunteer day,international women's day,international youth day,july 4th,juneteenth,kwanzaa,labor day,liberation day,lunar new year,mardi gras,martin luther king day,martin luther king jr. day,martin luther king's day,memorial day,memorial day ,mlk day,mlk.day,mother's day,national day,national day of prayer,new year,new year's,new year's day,new year's eve,parents day,passover,president's day,presidents day,ramadan,reformation day,remembrance day,republic day,resurrection day,rosh hashanah,saint patrick's day,spring break,st patrick's day,st patricks.day,st. partrick's day,st. patrick's day,superbowl,teacher's day,thanksgiving,thanksgiving day,thansgiving day,the chinese new year,the queen's jubilee day,three kings day,valentine's day,valentines day,veteran's day,veterans day,victory day,women's day,world aids day,world cancer day,world diabetes day,world environment day,world food day,world health day,world refugee day,world water day,world wildlife day,yom kippur
-0.022513222,0.03280974,-0.03735546,-0.055695243,-0.0567088,-0.029152432,-0.035747908,-0.029152432,0.0131627545,-0.020650184,1.343187e-05,0.055812143,0.07182461,0.016658386,-0.010956473,-0.024745883,0.03186706,0.008336207,-0.008969895,-0.011597971,-0.01997211,0.014519093,0.02387297,0.011333765,0.031540483,0.023212768,0.031099768,0.049666632,0.0052252924,-0.048219334,-0.043983545,-0.027077546,-0.0146459015,0.011842652,-0.034616776,-0.040440645,0.06967479,0.0203647,-0.0020655447,-0.017600939,0.06235306,-0.00022983311,-0.023313051,-0.010614923,0.018637862,0.020670982,0.0469396,-0.0019787187,0.050314825,0.049788315,0.07470201,0.05035237,0.0146030225,0.024821905,0.0071371254,0.03796512,0.040705707,0.08570269,-0.014946325,-0.007116544,0.05929285,0.07486768,0.043675732,0.04195777,0.0730937,0.01651881,0.041777577,0.0035278082,0.04711142,0.071353786,0.019091401,0.026163228,0.015430896,0.023142682,0.058587715,0.07546062,0.036841955,0.06314213,-0.0026729906,0.09902584,0.004728126,0.005448939,0.038195994,0.035164412,-0.038862642,-0.05016697,0.03319387,0.023550669,0.059091017,-0.039968185,0.052985698,-0.011889656,-0.013217972,-0.004456623,-0.054361574,-0.054361574,-0.012950265,-0.09909466,0.040045373,0.032275554,0.08143571,0.03004132,0.035016973,0.038649067,0.0126879625,0.022682782,-0.044043314,0.031054359,0.031054359,-0.058814667,0.014595635,-0.041340467,0.0012728064,-0.052149232,0.025470227,0.011340325,-0.004286391,0.01416088,-0.0031901884,0.049834035,0.01416088,-0.05155284,0.0071574766,-0.01155211,0.0014327345,-0.00017860398,0.0147973765,0.08630932,0.087153345,-0.019564113,-0.019564113,-0.0024057645,-0.0024057645,0.007498886,0.024427634,-0.04608384,-0.09586959,-0.064992316,-0.05665203,-0.007081524,-0.039835203,0.04516647,-0.010018419,-0.047094606,-0.0075824833
-0.0045718485,-0.0899139,-0.0519039,-0.016500061,0.0009365015,-0.029208025,-0.032469667,-0.029208025,-0.027625281,-0.025017027,0.059876435,0.040885855,-0.0128907375,0.008609864,0.0043235216,0.024251811,-0.030139552,-0.05833116,-0.010852874,-0.03545674,0.048845075,-0.0065174927,-0.05766474,-0.029683199,-0.036253653,-0.04987324,-0.04789303,-0.032062784,-0.01822186,-0.03448637,-0.0058457605,-0.023393208,-0.0093865935,-0.01805101,-0.057741687,-0.020890161,-0.032555778,-0.021162972,-0.02679354,-0.0017477217,0.015000403,-0.055496003,0.01715053,-0.022592016,-0.032758053,-0.018402336,0.0103147635,-0.002384319,0.032146145,0.0017780453,-0.0076028225,-0.006068773,-0.07045901,-0.057643417,-0.061998166,-0.027936636,-0.0732687,-0.00061353325,-0.032830074,-0.020339383,-0.07413229,-0.070474274,0.021539154,-0.026604725,-0.030801622,-0.04893889,-0.03747665,-0.012830591,-0.08468958,-0.07268809,-0.037057757,-0.085507944,-0.025423653,-0.079683736,-0.056848656,-0.033912867,-0.037608415,-0.003696028,0.01699803,-0.038259298,-0.0032849389,-0.036232956,-0.034272965,-0.06445179,-0.003844888,-0.0515276,-0.03936537,-0.03457138,-0.034000944,-0.078078635,-0.09923948,-0.058561936,-0.054144654,-0.04413544,-0.02493678,-0.02493678,-0.040750347,0.021021882,-0.025351064,-0.058367237,-0.01988609,-0.052219447,-0.058127176,-0.06156263,-0.058140397,-0.0143828625,-0.013937665,-0.023169903,-0.023169903,-0.0042249225,-0.06492564,-0.035412323,0.019181669,-0.036428273,-0.02165694,-0.026665626,0.017815253,-0.019499643,-0.047382664,-0.07735014,-0.019499643,-0.025469897,0.020070119,0.023983005,0.013905821,0.029770434,-0.07733879,0.013281188,0.027019328,-0.022260629,-0.022260629,0.008472051,0.008472051,-0.048537735,-0.031330097,0.0020337747,-0.0062046023,-0.0038734893,-0.016601486,-0.026247116,0.0012630739,-0.031606503,-0.0039648484,-0.014310355,-0.011825092
-0.021683756,-0.014535583,-0.04318164,-0.008717159,-0.0010408332,0.0065794685,-0.00039468126,0.0065794685,-0.05153937,0.026646867,0.007202817,0.049245827,0.016214931,-0.05253179,0.062094893,-0.005431269,0.07165578,-0.0119200405,0.016304942,0.03691161,0.0243846,-0.019988019,-0.0814283,-0.019211302,0.03704617,0.044557616,0.059227414,0.016319271,-0.015086809,0.064562306,0.061313815,0.056951765,0.069502875,0.032454725,0.059662215,-0.0077945828,0.06124546,0.013863638,0.042274334,-0.031277295,0.03938378,0.012255417,0.018485803,0.026315443,0.028093057,0.045398533,-0.097631775,-0.010302562,-0.005397488,-0.08343832,-0.07238697,0.06598412,0.009834452,0.025747309,-0.08252399,0.084707275,0.054747514,-0.07632906,0.05965631,0.02544106,0.057826366,0.05532933,0.040663812,0.05283403,0.021810526,0.051350314,0.04971381,0.012095337,-0.0015812414,0.032115232,-0.012390069,0.032034744,0.030458145,0.0545899,0.04290933,0.031264577,-0.057397302,-0.035777654,0.047457024,0.06126123,0.040945385,-0.008110786,0.06370543,0.026186636,-0.026635073,-0.028478771,-0.10643519,0.060149062,0.089667365,-0.0066524562,0.0011626404,-0.05845341,-0.06301023,-0.03520569,0.019405248,0.019405248,-0.0560946,0.07332598,0.0073236264,0.032455582,0.025437525,-0.014278766,-0.0012113274,0.019750156,0.014669868,0.060658406,0.03266687,0.03147272,0.03147272,0.04001936,0.059574343,-0.0011008587,0.058298986,0.033827182,0.043490484,-0.057901602,-0.05204351,-0.06575416,0.0009533495,-0.036573082,-0.06575416,0.077019565,0.033766124,0.013271977,0.007936851,0.044994164,-0.0051420154,-0.01598364,0.032104447,0.017393198,0.017393198,0.012544515,0.012544515,0.06396727,0.08757571,0.034917165,0.054377683,0.054571025,0.048976958,0.0702888,0.073579825,-0.06160821,0.04595698,0.071947396,0.08083066
0.031083358,-0.076783404,-0.054138426,-0.023892641,0.004170813,-0.0379412,-0.03796486,-0.0379412,-0.07442795,-0.058376666,-0.0777832,0.08915284,-0.024072954,-0.025609914,-0.016814752,-0.08798604,-0.028235188,-0.081141196,-0.040885292,-0.004078289,-0.052458495,-0.028965889,0.054055326,-0.033184927,-0.016959457,-0.07601015,-0.021530721,-0.07159509,0.0422777,-0.068840995,-0.07864629,-0.081218906,0.007810838,0.029756226,-0.051013287,-0.072955064,0.008926714,-0.07744322,-0.07861787,0.02473613,-0.037243776,0.026896076,-0.025833648,-0.008842354,-0.0073288735,0.042217262,0.06162197,-0.00696277,0.038801316,-0.040446,0.03276,0.015013226,0.042924814,-0.0017811698,-0.025075903,-0.028777497,-0.022137742,0.022213934,-0.0042905156,-0.018929124,-0.018287366,-0.0066871606,-0.059060108,-0.054774567,-0.02634422,-0.072381966,-0.040418968,0.011782237,-0.04798495,-0.04579292,-0.01894837,-0.04121285,0.020266298,-0.073175676,-0.06102621,-0.036157284,-0.015274944,-0.04076099,-0.05777143,-0.0306552,-0.08621975,0.01834481,-0.04368105,-0.022338167,0.0164543,0.06565643,0.054730617,-0.008486698,0.002579625,-0.11796656,0.020649966,0.00884981,0.0040201554,0.012433109,-0.014625558,-0.014625558,0.01466632,-0.05763651,-0.024343066,-0.034891088,-0.017719297,-0.06534541,-0.06455576,-0.063427225,-0.02438475,-0.008062789,-0.037795015,-0.052975245,-0.052975245,0.0012880074,-0.078669704,-0.061352823,-0.09123941,-0.0716223,-0.023123275,-0.025750266,0.06272674,-0.01632792,-0.051022295,-0.022922615,-0.01632792,-0.008213383,-0.05607723,0.009756809,0.013259791,-0.02882822,-0.09277145,-0.033788215,-0.018873004,-0.0075052194,-0.0075052194,-0.026797239,-0.026797239,-0.039992973,-0.06706694,0.024852458,-0.02510943,-0.018317427,-0.016023569,-0.00072472915,0.027832976,-0.013821008,-0.040666543,0.010359436,-0.0042618136
-0.07040735,-0.03204017,-0.03395874,0.029905682,-0.030283196,-0.07873079,-0.070791,-0.07873079,-0.02358196,0.008507181,-0.01216267,-0.030610265,-0.057687916,0.003999813,-0.021336952,0.05832995,-0.010813767,0.021009821,-0.060867902,-0.014093524,-0.07827582,-0.043579675,-0.0072949342,-0.040545993,-0.005781987,-0.022640754,-0.015731484,-0.031649593,0.0005702789,-0.032655604,-0.08987148,-0.08412775,-0.049156923,-0.052053288,0.0035712386,-0.015469685,-0.027579827,-0.03608385,-0.012083648,-0.07075948,-0.083920114,0.007206311,0.03926409,0.031757474,-0.036597367,-0.024146711,-0.03441598,0.024003454,-0.0041391645,0.03878459,0.07961372,0.04596571,0.065439746,0.042574048,0.028882697,0.059768926,0.027310243,0.08303511,0.0338479,0.00014244011,0.034477342,0.03923449,0.04513498,0.009590621,0.041228034,0.08064262,0.089347176,0.045712966,0.10500321,0.025552379,0.07623308,0.0629008,0.08475107,0.03157207,0.0017673521,0.10564045,0.049648225,0.023887157,0.079182275,0.028483393,0.093404226,0.024674814,0.08301953,-0.0298242,-0.06357342,0.014339486,0.013795076,-0.03892611,0.013401404,0.027341787,0.009611951,-0.009012518,-0.015635693,-0.0043844352,-0.03953679,-0.03953679,-0.02671258,-0.016352136,-0.008026649,-0.027666291,-0.018463314,-0.0027513306,0.007832025,0.013563301,0.038354475,-0.014420198,-0.0644272,-0.0167879,-0.0167879,-0.073800035,-0.03927008,0.009334072,0.011337293,-0.063405424,0.01147417,-0.019849446,-0.14184785,-0.029576076,-0.05141701,-0.004848183,-0.029576076,-0.012634703,-0.021285838,-0.034150057,-0.042814128,-0.0027093969,0.028572557,0.04729921,-0.0570034,-0.050783902,-0.050783902,0.00751265,0.00751265,0.028879767,0.03507085,-0.059369452,-0.045127556,0.019508278,0.028182184,0.00055878866,0.010036875,0.008695896,-0.024893377,0.01783549,-0.01846735
-0.031111186,0.015993321,0.07796622,-0.006809636,-0.097501434,0.013215403,0.0136806015,0.013215403,0.05215411,-0.04736303,0.01192076,0.0037532202,0.07113587,0.032507095,0.005027175,0.046368614,0.025364848,0.0285941,-0.003201383,-0.04783784,-0.004504231,-0.030765926,0.07752435,-0.01731808,-0.02873512,0.012891286,-0.043356076,0.05483909,0.034641407,0.086642124,0.0855653,0.08657209,0.066248,0.017700726,0.0050770454,0.0071201553,0.077361114,-0.0018900423,0.02391635,-0.025709284,0.056332693,-0.00047862227,0.026963565,0.05896827,0.0013879128,0.01921291,0.1026894,-0.011824716,-0.047561552,-0.057917327,0.06462938,0.05473142,0.033911124,0.029423295,0.042381003,0.05811173,0.07405586,0.07867162,0.09218198,0.011921572,0.02491969,0.066777214,0.06278194,0.08450748,0.05676646,0.09143648,-0.017860964,0.069388725,0.0873563,0.051772036,0.10842591,0.047568984,0.076709576,0.04951419,0.071192384,0.02493849,0.007399155,0.103095844,0.081170425,0.042712357,0.026353255,0.021035792,0.071538866,0.06088294,-0.05014873,0.033515263,0.039670005,0.012182744,-0.063968755,0.084132746,0.08893697,0.04069179,0.034544308,0.04206808,-0.016124146,-0.016124146,-0.0031234745,-0.08717705,0.05216662,-0.011974539,-0.019204808,0.05795335,0.051873926,0.042279378,0.015688958,0.015186626,0.056203417,0.032071408,0.032071408,0.057753988,0.08455696,-0.031715006,-0.054833643,0.015034574,0.0021690065,0.089217216,0.030679256,0.08178603,0.048025846,0.018244788,0.08178603,0.06368325,0.04034901,0.008395797,0.009330426,-0.026388146,0.03570581,0.054870587,-0.00724616,0.031626664,0.031626664,-0.057284497,-0.057284497,-0.041566163,0.039965756,0.09743589,0.077402994,0.041024428,0.11163353,0.07267492,0.058427516,0.061713442,0.051972516,0.059048366,0.021392724
-0.095565595,-0.10525146,0.011965409,-0.11645757,-0.06401082,-0.08298402,-0.10300965,-0.08298402,-0.10271232,-0.0855702,-0.08970601,-0.06377365,-0.10649728,-0.039026912,-0.13680682,0.106785916,-0.0998236,-0.0484276,-0.113535285,-0.11063107,0.028429538,-0.092791684,-0.102221385,-0.10640672,-0.10058794,-0.0738394,-0.088426664,-0.049400058,-0.06118543,-0.060688987,-0.09964692,-0.12384711,-0.097734354,-0.10155913,-0.08991395,0.0029324912,-0.12854719,-0.104438946,-0.105691046,-0.08188937,-0.010100167,-0.112655096,-0.043153558,-0.07383344,-0.093602195,-0.12874171,-0.039288327,-0.08176489,-0.08297848,-0.07407427,-0.08439591,-0.040549457,-0.026676415,-0.09035059,-0.048934937,-0.03709973,-0.029886704,-0.08995974,-0.08317592,0.041584976,-0.086325474,-0.08056264,-0.07235791,-0.11457224,-0.08198185,-0.056535244,-0.043623827,-0.05768817,-0.09473217,-0.11909561,-0.07067836,-0.048403174,-0.09458247,-0.08846694,-0.109105624,-0.05190016,-0.07789214,-0.09273099,-0.012850198,-0.07513837,-0.110107735,-0.055632755,-0.11560059,-0.07566105,-0.106117696,-0.049882185,-0.10599367,-0.09444018,-0.00698801,-0.0322119,-0.10338727,-0.09159552,-0.092335284,-0.08504381,-0.10397299,-0.10397299,-0.10290999,-0.008712317,-0.10104769,-0.10312525,-0.076472424,-0.007896266,-0.010769885,-0.05800718,-0.028799864,-0.11631138,-0.028958695,-0.11052911,-0.11052911,-0.06211152,-0.09709584,-0.087962784,-0.05479532,-0.043644134,-0.12659901,-0.095325656,-0.08320278,-0.101500034,-0.030033493,-0.14936085,-0.101500034,-0.03809635,-0.1048548,-0.1030013,-0.12717581,-0.12301803,-0.049680427,-0.103474736,-0.054204676,-0.13770123,-0.13770123,-0.08520503,-0.08520503,-0.06007179,-0.12080785,-0.038373213,-0.10086746,-0.09260583,-0.07292877,-0.06659987,-0.07977784,-0.06876282,-0.08269018,-0.07362221,-0.08146144
0.012740343,-0.009546796,0.06402743,0.015357667,-0.011045073,-0.038093716,-0.04303516,-0.038093716,0.003221218,0.026483342,0.031233229,-0.05433192,0.027429778,0.021888137,0.024731852,-0.040388625,-0.033322893,-0.022495648,0.02058309,-0.015234041,0.06419075,-0.008861389,-0.04857521,-0.021337677,0.021237498,0.0249312,-0.025717895,-0.01418915,0.05589029,-0.01773166,0.015152321,0.015470687,-0.05709289,-0.04550815,-0.0047231093,-0.0062643792,-0.060182266,-0.036369637,-0.013594051,0.014849854,-0.037090264,0.031932946,-0.014214918,-0.007707645,-0.0037995055,-0.04817214,-0.011477877,-0.07514684,-0.008871304,-0.03246815,-0.043291885,-0.06622972,-0.059616305,-0.034691244,-0.06936998,-0.06819191,-0.07290425,-0.03808965,-0.07105446,-0.0031287475,-0.052676372,-0.030562248,-0.017551167,-0.03668289,-0.02476772,-0.036968715,-0.064169295,-0.059761636,-0.010270136,-0.029630344,-0.031701297,0.0057528885,-0.03413321,-0.025123933,-0.01735385,-0.018786483,-0.064814426,-0.01864839,0.0039706747,0.004666938,-0.06879094,-0.04645379,-0.055943288,-0.032407198,0.017063601,0.0026037921,-0.037331462,0.014957935,-0.024245586,-0.035758972,0.0011177566,-0.015441367,-0.015588239,-0.024378812,-0.027162332,-0.027162332,-0.03876222,-0.09036469,-0.04159357,0.00017985339,-0.030442033,-0.021493591,0.0018774825,0.0044746404,-0.0006201784,-0.014458001,-0.027229004,-0.0693395,-0.0693395,-0.015292727,-0.037823442,0.024714243,-0.004618636,0.054810174,-0.04001902,-0.014190762,-0.012257171,-0.016969264,-0.09427076,-0.02743467,-0.016969264,-0.028216915,-0.060565744,-0.0043240506,-0.006361736,-0.035024848,-0.026150195,0.00040789822,-0.042070236,0.0067517,0.0067517,-0.009275469,-0.009275469,0.056675363,-0.031168846,-0.05299547,-0.07837073,0.058139298,-0.021265116,-0.022223553,-0.012149423,-0.033694275,-0.031376474,-0.04108741,-0.02532203
0.09799725,0.10849792,0.0794273,0.15428253,0.07591204,0.088216275,0.09624768,0.088216275,0.11153126,0.09040424,0.077417314,0.057673305,0.07969787,0.021107165,0.13001814,-0.03238696,0.07908106,0.08576432,0.16986859,0.17869149,0.035383835,0.061383728,0.13228197,0.053603437,0.066375986,0.062493514,0.08808904,0.09193237,0.1394754,0.058026172,0.08051886,0.112841554,0.098830625,0.121449076,0.09335202,0.07437104,0.024372328,0.14527345,0.047010884,0.09170397,0.025808137,0.08769039,0.017081087,0.04862598,0.075378515,0.15449563,0.048848394,0.12930968,0.1175327,0.07274224,0.042939298,0.056410916,0.07873108,0.08583149,0.09778658,0.0390083,0.055349406,0.027263189,0.07984821,0.06645748,0.085955985,0.09416517,0.039498813,0.09251995,0.10917579,0.076117985,0.05363378,0.09866597,0.06635784,0.09196645,0.0913535,0.005494457,0.039848566,0.022186743,0.07418701,0.057401307,0.06315042,0.03319615,0.025879145,0.07820566,0.071419485,0.049934722,0.0330107,0.046431143,0.088474736,0.05281425,0.15596873,0.08138244,0.08295762,0.07267445,0.03918726,0.11747262,0.1213038,0.116723634,0.12893456,0.12893456,0.1304257,0.011401465,0.13897845,0.09910184,0.07993263,0.12172564,0.13223636,0.14165768,0.13625471,0.12185793,0.05428907,0.10248665,0.10248665,0.072170034,0.056310773,0.12715058,0.11945424,0.07175455,0.13741168,0.0893372,0.003473775,0.08828362,0.006678836,0.10308767,0.08828362,0.04864286,0.086437106,0.12803674,0.13569148,0.115528576,0.08302847,0.10792064,0.094033435,0.16227445,0.16227445,0.10736044,0.10736044,0.07240261,0.057173934,0.08230249,0.08060152,0.13067485,0.004581293,0.077061355,0.077613704,0.06869479,0.026390078,0.024101079,0.079896025
0.02397562,-0.034510247,0.025022749,0.025926653,0.07922727,-0.008361097,0.0065695643,-0.008361097,0.039958946,0.018386247,0.003951992,0.014536871,-0.0203929,-0.015106021,0.006310109,-0.07124841,0.037957016,0.011862954,-0.015089707,0.0033862137,0.0027683962,0.024137968,-0.05575016,0.012302942,0.010728131,-0.04868447,-0.026441334,-0.04453926,0.051615365,0.045545023,-0.013677424,0.009070107,-0.045147702,-0.05421311,0.044354238,-0.03904402,0.07115843,0.05373732,0.0016852451,0.011805477,0.0067892876,0.025301011,-0.009034161,0.012858762,-0.0053448575,-0.01766645,0.017303335,0.024833648,0.017746154,0.04953666,0.095094666,0.09753519,0.06072845,0.047538772,0.11184227,0.10339612,0.082716405,0.08122377,0.019662209,0.05958356,0.0070317467,0.08358371,0.07770151,0.04500089,0.040908966,0.039612062,0.07940963,0.032482464,0.040697783,0.03504975,0.059121206,0.078985125,0.044533525,0.049099796,0.03539358,0.045453828,0.07903527,0.03356036,0.05025622,0.047991477,0.053050585,0.02085906,0.05689367,0.039648782,0.0048621623,-0.017357301,-0.04491936,0.024422698,0.019959651,0.038055025,0.059351988,0.021828253,0.035829682,0.020252462,0.05047657,0.05047657,0.003603477,-0.024112461,0.052735366,0.026728533,0.064273804,0.013714407,0.015807133,0.029979369,0.020253718,0.044969387,-0.044321753,0.044753138,0.044753138,-0.07588452,-0.011369738,0.06118568,-0.025953203,0.012971718,-0.009836129,-0.044238772,0.034834184,-0.043032765,-0.091188475,-0.037285317,-0.043032765,-0.040600937,0.05102178,0.014014601,0.027601562,0.02783858,-0.0057317596,0.016903259,0.021700494,-0.036217995,-0.036217995,0.06429773,0.06429773,0.050151896,0.03699358,0.0156868,0.03604029,0.024276342,0.09129165,0.01224348,0.05700717,0.030799132,0.044120472,0.05696472,-0.012595366
