Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
5c1942e200849900010afdcd,0.3590461786218589,0.12459922514871516,5.973389354984927,1.0011000634505987,18.0,simdrop,5,3.0,0.816496580927726
5c4a428161c51f0001e96b3f,0.40477482022592054,0.13188208449355548,6.405206906719475,0.9004354010511121,16.0,simdrop,4,3.2,1.6
5d3cc9010e510a00013df6f6,0.4729288281097084,0.1681693198371346,6.470012797253059,0.6537889960655352,15.0,simdrop,6,2.142857142857143,0.34992710611188266
5e7fefe06c12706d47e35211,0.39952153107848587,0.12991354590881668,5.894536207278959,1.2294050047301268,19.0,simdrop,4,3.8,1.16619037896906
5e8a76b3939b3072dc76fb5c,0.3446101015551978,0.13387904193479286,6.167964507099394,1.0251593140723345,14.0,simdrop,3,3.5,0.8660254037844386
5ed9311e1a69d449577bb8cf,0.4488975411619092,0.15730235242217688,5.784089275118925,1.0559077528880207,23.0,simdrop,7,2.875,0.7806247497997998
5f6c102b6ec04317fc9a8127,0.4404515796662216,0.1300341683330628,6.2293521114865715,0.7689136768779343,10.0,simdrop,2,3.3333333333333335,2.0548046676563256
5fc6df58f380620a09116434,0.3814011967452326,0.17773258398157082,5.778097285919915,1.1618592739862443,28.0,simdrop,6,4.0,1.1952286093343936
60da4f9aa1ced7efeecca18a,0.46849650809050336,0.24165366112314124,6.105099947544313,0.9751547854780156,24.0,simdrop,8,2.6666666666666665,1.0540925533894598
60fcf1a04c245326d05076e0,0.3932186126596976,0.12883641193965467,6.000212057163756,1.2176102797973034,16.0,simdrop,4,3.2,1.16619037896906
61035836646fb6ee2152f950,0.4224100073680195,0.10376176035876224,6.02701233951606,0.8662315061303333,12.0,simdrop,3,3.0,1.224744871391589
612e6569f68929afb886fb5c,0.4323260510251027,0.23205756692291452,6.099136540616585,0.9480601660200026,27.0,simdrop,6,3.857142857142857,0.8329931278350429
65512e3cc12f463bc327b7c3,0.3501504639135447,0.13915038279059824,5.991926877389397,1.4408644017548333,12.0,simdrop,3,3.0,0.7071067811865476
65778c02cde55736bb830eca,0.39910985713107344,0.21640228040953738,6.214269574552128,0.8172674855627833,15.0,simdrop,4,3.0,1.6733200530681511
6595e3b4dc9090390e4edb5f,0.4283992257922541,0.14398367889669808,6.060881741866823,0.8263288166193221,24.0,simdrop,5,4.0,2.23606797749979
65c10fdabd93bdc59f95835b,0.44444773098391765,0.20688172349007347,6.133557298859899,0.837124738693351,24.0,simdrop,6,3.4285714285714284,1.178030178747903
65c18079d4f634d2c8a0728c,0.30916666235106655,0.09293169310014067,6.094988816631174,1.0013652526581842,18.0,simdrop,3,4.5,1.8027756377319946
65cb586172a8853f26cc8eec,0.47692985795072995,0.258281531895967,5.670752258457355,1.13957120160702,16.0,simdrop,5,2.6666666666666665,0.7453559924999298
65cbcaaab9e2fae86452af73,0.403917353974724,0.16281249955191557,5.758080337158488,0.8676373049436,30.0,simdrop,7,3.75,2.331844763272204
65cc2139907d390e13480a97,0.3463416497232832,0.1427395469123369,5.989490518434873,1.0733913617148847,13.0,simdrop,3,3.25,1.299038105676658
65d26dcd13d9c8026aa92c4a,0.395353945066953,0.19888060047176082,5.593618639453173,1.225081341563676,24.0,simdrop,8,2.6666666666666665,0.816496580927726
65d6af2397543519d98f2498,0.3591265478040394,0.08760743734398409,5.911290523706769,0.9745174223497363,23.0,simdrop,6,3.2857142857142856,1.3850513878332367
65e63b7fc845c96c2c2520bc,0.3869123680474508,0.16076694010677522,6.342441598090242,0.7180397516082857,31.0,simdrop,6,4.428571428571429,2.3211538298959886
65eeceee847314e8232923c9,0.34296929484076893,0.11207756354264523,5.959591253387935,0.661133872046569,7.0,simdrop,1,3.5,1.5
65ef726771fe85fd222416d1,0.4466134273812566,0.17558096929200231,6.074958175778377,0.908109565266369,16.0,simdrop,3,4.0,1.224744871391589
65f1ec7ae5a09035345db62e,0.42456766454840017,0.2140785505482402,6.0364099213071825,0.790329181125102,34.0,simdrop,10,3.090909090909091,1.7814470856604934
65f36565fe88b95d6806e496,0.4042588407046341,0.12401943600892465,6.426877392136472,0.7362909366278738,22.0,simdrop,5,3.6666666666666665,0.7453559924999298
65f3d5016e5acb0fd67df6ee,0.48195150766728345,0.13532019437224616,5.705859208464746,0.623149726484284,8.0,simdrop,1,4.0,1.0
