SID,entry,timepoint,evaluation,replacement
65778c02cde55736bb830eca,football,2.0,FOUND,football
65778c02cde55736bb830eca,basketball,3.0,FOUND,basketball
65778c02cde55736bb830eca,badminton,5.6,FOUND,badminton
65778c02cde55736bb830eca,tennis,8.1,FOUND,tennis
65778c02cde55736bb830eca,hockey,8.8,FOUND,hockey
65778c02cde55736bb830eca,lacrosse,10.4,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,soccer,12.1,FOUND,soccer
65778c02cde55736bb830eca,rugby,17.8,FOUND,rugby
65778c02cde55736bb830eca,volleyball,25.0,FOUND,volleyball
65778c02cde55736bb830eca,baseball,29.7,FOUND,baseball
65778c02cde55736bb830eca,flag football,30.6,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,running,36.6,REPLACE,rowing
65778c02cde55736bb830eca,bobsledding,48.6,FOUND,bobsledding
65778c02cde55736bb830eca,skiing,49.9,FOUND,skiing
65778c02cde55736bb830eca,snowboarding,51.7,FOUND,snowboarding
65778c02cde55736bb830eca,golf,58.4,FOUND,golf
65778c02cde55736bb830eca,field hockey,65.1,REPLACE,ice hockey
65778c02cde55736bb830eca,archery,71.1,FOUND,archery
65778c02cde55736bb830eca,Box Lacrosse,83.1,EXCLUDE,EXCLUDE
65778c02cde55736bb830eca,cheer,91.2,REPLACE,archery
65778c02cde55736bb830eca,gymnastics,105.5,FOUND,gymnastics
65778c02cde55736bb830eca,ice skating,111.5,FOUND,ice skating
61035836646fb6ee2152f950,tennis,2.0,FOUND,tennis
61035836646fb6ee2152f950,baseball,2.7,FOUND,baseball
61035836646fb6ee2152f950,badminton,4.1,FOUND,badminton
61035836646fb6ee2152f950,Cricket,6.5,REPLACE,cricket
61035836646fb6ee2152f950,bowling,7.2,REPLACE,rowing
61035836646fb6ee2152f950,football,10.6,FOUND,football
61035836646fb6ee2152f950,pickleball,20.1,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,dodgeball,20.9,REPLACE,horseball
61035836646fb6ee2152f950,wall ball,24.3,REPLACE,volleyball
61035836646fb6ee2152f950,skiing,30.5,FOUND,skiing
61035836646fb6ee2152f950,snowboarding,31.5,FOUND,snowboarding
61035836646fb6ee2152f950,surfing,34.8,FOUND,surfing
61035836646fb6ee2152f950,running,37.9,REPLACE,rowing
61035836646fb6ee2152f950,cycling,40.2,FOUND,cycling
61035836646fb6ee2152f950,shooting,42.6,FOUND,shooting
61035836646fb6ee2152f950,archery,44.6,FOUND,archery
61035836646fb6ee2152f950,NASCAR,53.9,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,monster trucking,58.2,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,shot put,67.1,FOUND,shot put
61035836646fb6ee2152f950,long jumping,70.6,REPLACE,long jump
61035836646fb6ee2152f950,boat racing,91.2,REPLACE,horse racing
61035836646fb6ee2152f950,paragliding,94.6,EXCLUDE,EXCLUDE
61035836646fb6ee2152f950,swimming,101.4,FOUND,swimming
61035836646fb6ee2152f950,fishing,106.8,FOUND,fishing
61035836646fb6ee2152f950,gaming,112.7,REPLACE,grappling
6595e3b4dc9090390e4edb5f,basketball,5.9,FOUND,basketball
6595e3b4dc9090390e4edb5f,baseball,6.9,FOUND,baseball
6595e3b4dc9090390e4edb5f,football,9.5,FOUND,football
6595e3b4dc9090390e4edb5f,soccer,12.1,FOUND,soccer
