Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
5c1942e200849900010afdcd,forage_dynamic_simdrop,5.518157804684162,0.36079555927346196,,13.780432034092033
5c1942e200849900010afdcd,forage_random_baseline,0.0,0.0,,21.59265080607101
5c4a428161c51f0001e96b3f,forage_dynamic_simdrop,3.8627821612926843,1.9738273178581724,,51.43237349118291
5c4a428161c51f0001e96b3f,forage_random_baseline,0.0,0.0,,75.57427782124854
5d3cc9010e510a00013df6f6,forage_dynamic_simdrop,10.183072893832742,0.15826517012982122,,9.224758417755096
5d3cc9010e510a00013df6f6,forage_random_baseline,0.0,0.0,,21.59265080607101
5e7fefe06c12706d47e35211,forage_dynamic_simdrop,4.249068359258187,0.3303968068504304,,23.452741023159618
5e7fefe06c12706d47e35211,forage_random_baseline,0.0,0.0,,32.38897620910652
5e8a76b3939b3072dc76fb5c,forage_dynamic_simdrop,8.630483713758302,0.21439131270507558,,10.406620933640564
5e8a76b3939b3072dc76fb5c,forage_random_baseline,0.0,0.0,,21.59265080607101
5ed9311e1a69d449577bb8cf,forage_dynamic_simdrop,3.9487577721667875,0.622257213031522,,27.908120805355797
5ed9311e1a69d449577bb8cf,forage_random_baseline,0.0,0.0,,37.78713891062427
5f6c102b6ec04317fc9a8127,forage_dynamic_simdrop,4.033027406590831,1.168005987733757,,30.57750641547529
5f6c102b6ec04317fc9a8127,forage_random_baseline,0.0,0.0,,43.18530161214203
5fc6df58f380620a09116434,forage_dynamic_simdrop,6.0981294882628,-0.5371977740556223,,10.212590322555442
5fc6df58f380620a09116434,forage_random_baseline,0.0,0.0,,16.19448810455326
60da4f9aa1ced7efeecca18a,forage_dynamic_simdrop,8.17907616646619,-0.446698448410183,,16.592425919907743
60da4f9aa1ced7efeecca18a,forage_random_baseline,0.0,0.0,,32.38897620910652
60fcf1a04c245326d05076e0,forage_dynamic_simdrop,2.021640336785593,0.36506726410372203,,4.561956639829558
60fcf1a04c245326d05076e0,forage_random_baseline,0.0,0.0,,5.3981627015177525
61035836646fb6ee2152f950,forage_dynamic_simdrop,2.830505649231425,2.5809223042063736,,21.444904268264338
61035836646fb6ee2152f950,forage_random_baseline,0.0,0.0,,32.38897620910652
65512e3cc12f463bc327b7c3,forage_dynamic_simdrop,3.0849268984808624,0.6537129996009355,,16.943127928200134
65512e3cc12f463bc327b7c3,forage_random_baseline,0.0,0.0,,21.59265080607101
65778c02cde55736bb830eca,forage_dynamic_simdrop,0.11519570081638793,0.8588313991766762,,25.882371804057996
65778c02cde55736bb830eca,forage_random_baseline,0.0,0.0,,26.99081350758876
6595e3b4dc9090390e4edb5f,forage_dynamic_simdrop,4.319722939646591,0.8185037189703914,,30.326748244389197
6595e3b4dc9090390e4edb5f,forage_random_baseline,0.0,0.0,,43.18530161214203
